timestamp,acc_x,acc_y,acc_z
0,81,-2,124
1,84,-2,125
1,86,-4,124
3,88,-5,125
3,89,-5,124
4,88,-7,124
5,87,-11,122
6,85,-13,120
7,86,-13,117
8,89,-12,120
9,88,-15,115
9,86,-20,106
12,85,-25,99
13,95,-24,111
14,100,-24,121
15,105,-24,138
15,108,-24,143
16,110,-26,155
16,102,-27,170
17,93,-28,180
17,88,-28,181
17,87,-28,170
19,84,-31,160
21,81,-33,150
22,83,-34,145
23,73,-32,145
25,56,-32,138
31,38,-40,124
39,36,-43,119
39,39,-42,116
40,39,-40,124
40,34,-37,127
41,24,-38,121
42,22,-44,111
43,29,-43,110
47,29,-44,110
48,34,-48,108
50,31,-53,107
51,24,-60,103
51,19,-69,105
51,19,-71,104
53,18,-70,108
54,16,-70,111
54,13,-70,113
55,12,-71,116
56,12,-74,120
56,13,-73,125
57,11,-72,127
58,8,-75,126
58,7,-76,125
59,8,-76,125
60,7,-80,126
65,8,-78,126
67,8,-76,124
68,9,-76,126
68,9,-76,128
69,7,-78,128
69,6,-77,128
70,5,-76,127
70,7,-75,128
71,6,-75,129
72,6,-75,128
72,6,-74,132
73,2,-72,129
74,1,-73,126
75,3,-76,125
76,6,-76,123
81,6,-77,121
83,4,-78,119
83,4,-78,122
85,7,-76,124
85,8,-74,125
85,13,-73,127
87,10,-73,128
88,7,-73,128
88,8,-74,128
89,10,-74,128
90,8,-75,125
90,6,-76,127
91,5,-76,127
91,4,-77,127
92,4,-77,126
92,4,-76,127
93,6,-77,127
101,6,-77,126
101,7,-76,127
102,8,-76,128
102,7,-77,126
103,7,-77,127
105,9,-78,125
108,9,-78,125
108,8,-77,126
109,6,-77,126
109,7,-77,127
114,5,-77,126
115,4,-77,124
116,4,-77,124
132,2,-78,124
153,2,-78,127
175,3,-76,128
197,3,-75,128
218,3,-73,128
241,2,-73,127
263,1,-72,125
285,1,-72,121
307,0,-69,117
330,-7,-58,106
351,-18,-49,96
372,-23,-37,85
395,-22,-25,69
416,-25,-9,59
438,-28,0,49
460,-22,9,45
482,-26,15,52
503,-28,19,61
526,-13,31,76
547,0,44,91
568,23,49,113
590,68,61,155
612,107,78,188
635,140,94,225
656,163,98,227
679,155,84,221
700,148,77,251
722,157,83,256
744,128,63,236
766,104,49,222
788,94,47,212
809,90,48,214
831,77,52,212
853,60,46,196
875,62,43,196
897,66,50,199
919,75,50,201
941,80,53,191
963,76,45,177
984,74,27,161
1007,72,22,149
1029,67,9,133
1051,62,1,118
1073,63,-2,113
1094,63,-7,90
1116,38,-29,73
1138,45,-35,63
1160,38,-45,52
1182,32,-57,42
1204,37,-64,39
1226,29,-72,29
1248,27,-89,15
1270,32,-95,16
1292,34,-99,22
1313,30,-106,28
1336,30,-110,34
1357,34,-112,43
1380,33,-113,52
1415,38,-114,62
1423,37,-115,73
1445,35,-120,72
1467,36,-119,79
1489,36,-123,73
1510,29,-123,79
1532,41,-121,73
1555,35,-121,74
1577,42,-116,78
1598,51,-112,77
1620,50,-113,78
1641,50,-114,76
1664,47,-114,76
1686,47,-114,80
1708,47,-113,81
1730,47,-113,79
1752,44,-114,78
1774,42,-115,77
1796,42,-114,76
1818,41,-114,75
1840,39,-114,73
1862,37,-114,73
1883,35,-113,73
1905,36,-113,75
1927,42,-111,78
1949,42,-111,77
1971,40,-110,79
1993,41,-109,79
