timestamp,acc_x,acc_y,acc_z
0,40,-54,132
1,38,-55,135
1,34,-55,138
2,30,-59,139
2,28,-62,141
2,29,-63,145
4,32,-64,148
4,34,-64,151
5,35,-65,152
5,43,-65,153
5,45,-65,151
6,46,-69,146
6,43,-70,142
6,40,-69,139
6,38,-71,130
7,34,-68,125
7,35,-66,121
7,36,-63,120
7,38,-59,114
7,37,-56,110
7,35,-52,108
8,32,-48,105
8,32,-42,102
8,29,-36,98
8,25,-33,97
9,28,-30,101
9,27,-29,107
9,40,-44,104
9,46,-57,101
10,52,-68,108
10,64,-80,119
10,74,-92,129
10,77,-96,142
11,85,-95,158
11,91,-94,164
11,87,-93,164
11,82,-91,160
12,73,-91,154
12,64,-92,147
12,52,-90,140
12,52,-89,134
13,52,-86,127
13,48,-85,122
13,48,-79,120
13,47,-75,116
14,41,-75,113
14,34,-74,109
14,30,-74,103
14,27,-74,105
15,22,-69,107
15,16,-68,107
15,6,-69,105
15,4,-67,110
16,8,-63,114
16,8,-64,117
16,3,-65,120
16,-4,-70,121
17,-5,-69,122
17,-3,-72,126
17,-1,-69,132
17,2,-62,138
18,0,-60,140
18,-4,-59,141
18,-13,-58,136
18,-15,-57,132
18,-10,-54,132
19,-7,-54,133
20,-6,-54,128
20,-13,-58,125
22,-13,-63,126
22,-11,-65,128
22,-8,-65,128
22,-9,-68,126
23,-12,-70,129
23,-11,-71,132
25,-12,-76,135
25,-12,-78,136
25,-9,-71,139
26,-11,-66,140
26,-13,-70,137
26,-13,-76,134
26,-16,-76,131
26,-17,-80,131
26,-19,-95,137
28,-24,-111,138
28,-30,-118,140
28,-29,-108,146
28,-34,-94,146
29,-31,-79,140
29,-27,-61,131
29,-21,-50,126
30,-17,-42,127
32,-10,-41,119
54,-11,-35,107
75,-12,-32,104
97,-12,-39,105
119,-18,-46,108
141,-19,-47,104
163,-16,-50,105
185,-18,-60,114
207,-25,-61,116
229,-30,-62,117
251,-30,-64,118
273,-32,-63,122
295,-36,-60,124
317,-46,-52,127
339,-62,-49,131
361,-86,-47,143
383,-103,-38,149
404,-111,-37,146
426,-121,-39,138
448,-112,-32,135
470,-97,-29,140
492,-92,-26,148
514,-80,-27,138
536,-69,-26,126
558,-57,-23,120
580,-33,-27,124
602,-31,-31,126
624,-28,-36,126
645,-20,-35,127
667,-8,-33,126
689,14,-32,133
711,48,-19,156
733,65,-21,156
755,82,-30,151
777,90,-43,148
799,96,-57,140
821,108,-67,131
843,112,-79,121
865,112,-85,115
887,110,-89,106
908,108,-90,99
930,110,-89,98
952,113,-83,95
974,100,-83,93
996,96,-78,95
1018,94,-69,95
1040,92,-64,93
1062,85,-59,90
1084,78,-50,86
1106,69,-34,79
1128,64,-21,82
1149,51,-7,87
1170,41,-3,93
1193,33,-1,94
1215,24,10,109
1237,6,27,158
1259,-17,30,180
1281,-34,17,171
1303,-34,13,164
1324,-25,24,182
1347,-44,37,201
1369,-92,39,197
1391,-95,36,185
1413,-87,36,171
1435,-88,40,172
1457,-108,54,194
1478,-123,64,191
1500,-122,63,170
1522,-110,59,164
1544,-102,54,160
1566,-102,49,153
1588,-92,47,146
1610,-87,45,139
1632,-79,46,132
1654,-69,49,131
1676,-69,48,131
1698,-73,48,130
1720,-73,46,133
1741,-66,46,133
1763,-60,44,134
1785,-54,47,141
1807,-46,53,145
1829,-32,55,141
1851,-21,56,139
1873,-1,61,147
1895,21,63,158
1925,31,56,153
1939,38,49,150
1961,54,47,145
1982,53,36,139
