timestamp,acc_x,acc_y,acc_z
0,23,-32,132
1,24,-32,132
1,27,-32,135
2,29,-31,141
2,31,-30,147
2,33,-28,152
3,33,-25,154
3,33,-24,156
3,34,-23,157
3,31,-26,157
4,29,-28,154
4,28,-29,150
4,28,-29,148
5,30,-29,147
5,27,-29,143
5,32,-29,141
6,28,-30,140
6,27,-30,142
6,28,-28,140
6,27,-30,138
7,28,-30,138
7,29,-32,139
7,28,-32,139
7,29,-30,142
8,30,-29,142
8,31,-29,144
8,31,-27,145
9,32,-27,147
9,31,-28,145
9,30,-31,145
9,30,-31,144
10,30,-32,144
10,31,-31,145
10,32,-29,145
11,32,-29,144
11,32,-30,145
12,31,-30,146
12,31,-30,147
12,31,-29,146
12,29,-29,146
13,30,-29,146
13,29,-30,143
13,31,-30,142
13,29,-30,142
14,29,-30,142
14,31,-32,140
14,31,-32,139
14,30,-32,139
15,31,-33,137
15,32,-33,139
15,31,-33,140
15,33,-30,141
16,32,-27,144
16,31,-27,144
16,32,-28,143
16,30,-29,144
16,29,-29,143
17,29,-31,141
17,27,-33,141
17,26,-33,142
17,30,-33,142
17,30,-32,143
18,30,-32,143
18,32,-29,146
18,31,-28,147
18,31,-26,147
18,30,-26,147
20,31,-27,148
21,30,-28,147
23,28,-29,146
23,29,-29,145
25,31,-30,143
26,30,-30,143
26,28,-31,143
30,30,-31,142
30,31,-31,142
31,30,-32,141
31,29,-32,141
32,29,-31,140
32,30,-32,141
33,32,-33,140
33,33,-32,140
33,31,-33,140
34,31,-32,141
34,31,-30,142
34,32,-29,143
35,31,-29,141
36,32,-28,142
36,32,-30,141
36,30,-30,141
36,29,-31,141
37,30,-32,140
38,32,-34,139
38,31,-34,141
45,29,-33,144
67,33,-32,147
89,33,-31,148
112,32,-31,148
133,34,-30,148
155,35,-29,149
177,35,-28,146
199,35,-28,145
220,35,-28,141
243,34,-28,139
264,33,-27,135
286,31,-28,132
308,31,-27,123
330,32,-26,116
352,28,-23,110
374,23,-20,107
397,17,-16,101
417,10,-11,96
439,-1,1,92
461,-10,14,95
482,-8,22,100
504,-4,26,103
526,-1,32,104
549,-1,36,111
570,-2,43,120
592,-5,44,124
614,-12,43,131
636,-25,42,137
658,-37,52,150
680,-35,78,181
702,-44,105,219
725,-52,123,234
746,-40,143,242
767,-9,162,249
789,17,169,250
812,28,165,238
833,59,161,216
855,79,152,198
877,100,140,188
899,110,132,183
922,108,118,166
943,116,104,156
965,129,93,143
987,128,81,130
1008,120,73,123
1030,120,66,111
1052,117,57,98
1075,119,40,84
1096,98,21,74
1118,85,11,68
1140,83,2,66
1160,83,0,67
1181,82,0,66
1202,78,-7,65
1224,71,-12,66
1247,61,-11,73
1268,49,-17,76
1290,47,-24,71
1313,37,-23,73
1334,27,-23,74
1357,16,-26,73
1378,6,-25,77
1400,-1,-21,71
1423,-6,-15,75
1444,-25,-8,87
1466,-40,-11,95
1487,-44,-17,96
1510,-47,-18,104
1531,-44,-18,115
1553,-50,-20,126
1576,-54,-21,141
1598,-51,-22,164
1619,-41,-26,182
1641,-33,-30,188
1664,-12,-26,201
1685,8,-18,220
1707,27,-8,226
1729,36,-11,222
1751,32,-16,211
1772,30,-17,203
1794,28,-20,186
1816,26,-21,175
1839,28,-21,165
1860,29,-20,158
1883,25,-19,153
1904,21,-21,145
1926,25,-24,136
1948,26,-25,133
1970,25,-27,132
1993,21,-28,132
