timestamp,acc_x,acc_y,acc_z
0,65,-36,125
0,67,-38,127
1,67,-38,124
1,67,-39,121
2,67,-42,120
3,69,-44,124
3,69,-44,127
3,69,-43,126
3,68,-42,127
4,68,-42,129
4,68,-41,129
4,66,-40,130
5,64,-40,129
5,65,-39,129
5,66,-39,127
6,64,-39,126
6,62,-40,123
6,66,-39,123
6,66,-38,124
7,65,-39,124
7,65,-40,125
7,66,-40,128
7,65,-40,130
8,64,-40,133
8,63,-38,136
8,65,-37,139
9,64,-36,139
9,63,-37,138
9,63,-37,136
10,62,-38,133
10,60,-39,133
10,60,-40,133
11,59,-39,133
11,60,-37,134
11,61,-37,134
11,60,-38,132
11,58,-39,131
12,59,-40,129
13,58,-41,128
13,58,-42,129
14,57,-42,129
14,54,-44,129
14,53,-46,127
14,52,-48,127
14,51,-51,125
16,52,-52,125
16,55,-51,126
16,57,-52,125
17,58,-51,125
17,57,-53,127
17,58,-53,127
17,59,-53,127
17,57,-53,129
17,59,-51,130
18,58,-50,129
18,57,-51,130
18,56,-50,130
18,55,-51,130
19,54,-51,128
19,54,-52,127
19,51,-53,126
19,52,-52,126
19,53,-52,127
20,52,-52,127
20,50,-53,126
20,52,-53,126
20,52,-53,128
21,54,-52,129
21,53,-53,128
21,52,-53,130
21,53,-53,129
22,53,-54,130
22,51,-54,129
22,51,-55,129
22,52,-55,129
23,53,-54,129
23,53,-55,128
23,51,-56,129
23,51,-55,130
24,49,-53,131
24,47,-52,130
25,47,-53,133
25,45,-52,131
25,45,-52,130
25,45,-55,129
26,44,-55,129
26,43,-55,128
26,44,-56,129
26,44,-54,128
26,45,-54,130
27,44,-54,130
27,44,-53,130
27,42,-54,130
40,42,-53,130
61,41,-53,131
83,36,-54,133
105,29,-55,134
127,25,-54,135
149,15,-53,137
171,2,-54,140
193,-5,-54,146
215,-19,-54,145
237,-35,-52,138
259,-42,-48,131
281,-46,-43,122
302,-42,-35,114
324,-28,-21,113
346,-10,-12,96
368,3,-9,69
389,25,8,76
410,40,23,71
431,45,22,61
454,54,30,56
475,80,48,54
497,110,74,50
519,98,90,55
541,102,112,64
563,122,142,80
585,141,164,103
607,149,178,119
629,138,184,139
651,136,187,154
673,130,193,170
695,80,195,202
717,53,185,205
739,64,188,205
761,62,199,213
782,48,209,215
803,17,204,211
826,0,195,209
848,-2,179,203
870,-9,171,205
892,-11,160,193
914,-33,125,162
936,-33,106,140
958,-39,82,131
980,-46,59,108
1001,-36,38,104
1023,-34,23,96
1046,-31,-2,81
1067,-25,-15,70
1089,-18,-22,70
1111,-8,-25,67
1133,-2,-30,64
1155,0,-35,56
1177,9,-40,56
1199,22,-37,66
1220,43,-33,78
1243,63,-33,81
1264,71,-39,80
1286,91,-39,90
1308,126,-43,108
1330,128,-55,116
1352,120,-60,124
1375,111,-65,133
1396,107,-66,140
1418,98,-69,140
1440,90,-73,139
1462,76,-72,138
1484,70,-70,133
1506,67,-69,129
1527,64,-66,126
1549,62,-62,126
1572,54,-62,125
1594,50,-57,122
1615,44,-59,120
1637,48,-58,120
1659,49,-57,121
1681,48,-56,124
1703,48,-57,121
1725,48,-57,119
1747,54,-58,123
1769,56,-56,125
1790,58,-57,125
1812,57,-58,123
1834,58,-57,121
1856,60,-56,126
1878,61,-55,127
1901,57,-57,126
1922,56,-56,125
1944,58,-54,126
1966,56,-55,128
1988,57,-54,129
