timestamp,acc_x,acc_y,acc_z
0,27,-123,65
1,28,-123,68
1,29,-123,71
2,27,-124,71
2,25,-125,70
2,18,-127,71
2,6,-133,73
3,9,-134,78
3,14,-132,82
3,22,-129,84
3,28,-128,81
5,29,-126,80
5,35,-122,74
5,30,-120,70
5,20,-116,67
5,12,-116,58
6,3,-117,50
6,-3,-117,47
6,-4,-117,46
6,-1,-121,47
7,-1,-124,53
7,1,-126,63
7,5,-129,67
7,5,-128,71
8,4,-126,70
8,3,-129,69
8,6,-133,65
8,10,-132,67
9,12,-126,70
9,10,-121,68
9,2,-116,68
9,5,-114,69
10,9,-116,70
10,9,-116,74
10,10,-119,76
10,14,-120,76
11,19,-119,79
11,18,-119,82
11,17,-115,84
11,21,-111,91
12,19,-108,93
12,16,-106,94
12,15,-105,94
12,17,-108,92
13,17,-103,96
13,12,-108,90
13,12,-111,88
13,8,-113,90
14,4,-118,85
14,5,-117,82
14,7,-116,79
14,7,-116,76
15,5,-117,73
15,3,-122,71
15,2,-123,66
15,2,-128,66
15,3,-128,65
16,2,-129,66
16,2,-129,69
16,5,-128,70
16,7,-123,73
17,7,-119,74
17,6,-116,74
17,4,-116,73
17,1,-115,73
18,0,-115,74
18,0,-118,73
18,0,-117,73
18,0,-118,74
19,1,-120,74
19,1,-121,76
19,2,-121,76
20,3,-123,76
20,2,-122,74
20,3,-122,76
20,5,-121,75
21,5,-120,79
21,6,-119,78
21,5,-119,79
22,4,-119,82
22,4,-119,80
22,1,-119,76
22,0,-120,74
23,0,-121,73
23,1,-123,74
23,0,-122,73
26,-1,-124,69
26,-2,-125,68
27,-3,-126,70
27,-5,-126,66
27,-8,-127,63
27,-6,-128,61
27,-7,-128,60
46,-8,-128,57
68,-8,-128,56
90,-8,-127,56
112,-7,-127,54
134,-7,-124,47
156,-9,-122,43
178,-8,-120,45
199,-7,-116,42
222,-7,-111,37
244,-7,-105,26
265,-6,-89,28
287,0,-72,33
309,5,-54,31
331,6,-37,30
353,8,-18,29
375,9,4,38
395,15,37,49
418,30,66,43
440,42,102,50
461,35,124,55
483,47,142,60
505,62,163,58
528,42,202,103
549,57,233,124
571,72,237,106
593,57,227,89
615,51,228,111
636,76,229,165
659,86,175,145
681,63,168,161
703,53,194,160
724,59,193,163
747,70,174,159
768,63,159,152
789,59,149,152
811,48,140,134
833,34,140,115
855,34,141,105
877,27,130,94
899,26,129,83
922,27,126,75
944,18,126,66
965,17,127,61
987,21,123,59
1009,26,118,61
1030,28,116,59
1053,27,111,58
1075,20,104,61
1097,18,110,70
1119,17,116,72
1140,6,111,69
1162,9,106,72
1185,24,117,77
1207,32,126,76
1228,44,134,72
1250,44,130,72
1272,43,127,74
1294,48,123,69
1316,57,112,69
1338,71,104,75
1360,63,117,72
1382,43,129,66
1404,35,124,67
1426,42,116,71
1448,46,116,73
1469,51,110,70
1490,51,108,66
1512,43,112,64
1535,39,118,68
1556,43,113,72
1578,42,114,69
1600,35,121,74
1622,34,117,75
1645,32,116,72
1667,30,115,74
1689,34,113,74
1710,34,111,70
1733,35,113,70
1753,42,114,71
1775,43,113,70
1798,44,114,72
1820,44,115,72
1842,42,119,71
1864,46,116,72
1885,50,113,76
1907,54,112,76
1929,52,114,73
1951,49,113,75
1974,52,110,77
1995,51,113,74
