timestamp,acc_x,acc_y,acc_z
0,46,123,25
1,50,122,24
2,54,121,23
2,56,123,24
3,55,125,24
4,52,127,24
5,51,127,26
5,50,126,27
6,48,126,28
7,47,126,29
8,49,126,29
9,50,126,29
9,51,125,28
11,52,125,29
12,52,126,28
16,51,126,27
17,50,126,28
20,51,126,27
20,51,126,27
21,50,125,27
21,50,125,27
22,49,126,28
27,49,126,28
36,49,126,28
37,49,126,27
38,48,126,29
38,48,127,27
39,49,125,28
40,49,126,28
41,49,127,27
41,48,126,28
43,48,126,27
43,49,125,28
44,48,126,27
44,48,127,28
45,48,126,27
46,48,125,28
50,48,126,28
51,49,127,27
52,49,126,28
53,49,126,27
53,48,126,28
54,49,126,28
55,49,125,27
55,48,126,29
56,49,126,29
57,49,126,28
58,49,126,28
60,49,126,28
60,49,126,28
60,49,126,27
61,49,126,27
62,50,126,28
66,49,126,27
67,49,126,28
68,48,126,27
69,49,126,27
70,49,126,26
70,48,125,27
71,48,126,27
72,48,127,27
73,48,126,27
74,49,126,27
75,49,126,27
75,47,126,28
76,48,126,28
76,49,126,28
77,49,126,26
78,49,127,26
78,48,126,28
84,48,126,27
85,48,127,29
85,48,127,28
87,48,126,29
88,47,126,28
88,47,126,27
89,47,127,26
89,48,127,26
90,48,126,25
90,48,126,27
91,48,125,26
91,49,126,26
91,48,125,26
92,48,126,26
92,48,126,27
93,49,126,27
93,48,126,28
93,48,126,28
94,49,127,27
94,48,127,28
94,48,125,28
95,48,126,27
100,48,127,27
101,48,126,27
101,49,126,29
102,49,127,29
119,49,127,29
140,49,127,28
163,49,126,29
184,49,126,29
207,49,128,29
229,49,128,30
250,54,129,37
272,72,136,48
294,110,149,76
316,115,161,99
337,132,171,114
360,149,188,118
383,138,187,125
403,129,182,131
426,112,174,129
449,108,166,127
469,103,162,129
492,98,157,137
513,108,158,149
536,129,161,149
559,151,158,136
579,148,144,128
602,139,127,125
623,130,115,118
645,121,100,110
667,108,86,99
688,72,59,93
710,47,40,86
733,31,24,78
754,20,7,78
775,14,-5,68
797,12,-10,65
818,5,-8,66
840,0,-3,65
861,0,-10,62
883,1,-13,68
904,0,-17,70
927,-6,-18,72
950,-13,-25,64
970,-19,-37,59
993,-16,-63,54
1016,-17,-71,56
1037,-22,-76,62
1058,-27,-84,66
1079,-29,-86,73
1102,-31,-92,84
1124,-25,-97,92
1146,-12,-92,103
1168,-6,-88,110
1190,-10,-86,111
1212,-13,-87,104
1233,-11,-87,108
1256,-8,-91,107
1278,-7,-92,111
1302,-6,-94,113
1322,-6,-95,115
1344,-6,-95,116
1365,-4,-95,117
1387,-3,-91,120
1408,-3,-91,120
1431,0,-93,119
1454,1,-91,120
1475,1,-89,118
1497,0,-89,117
1518,2,-90,113
1541,2,-90,112
1563,0,-89,113
1585,0,-89,113
1605,0,-90,113
1628,-1,-90,115
1651,-2,-91,117
1672,-4,-89,119
1694,-4,-90,119
1716,-4,-90,118
1738,-3,-90,119
1760,-4,-89,118
1782,-8,-88,118
1804,-7,-88,117
1826,-4,-89,119
1847,-4,-87,118
1870,-4,-86,119
1891,-4,-88,116
1913,-2,-89,115
1935,-2,-89,116
1957,-5,-87,115
1978,-5,-89,116
2001,-4,-89,117
