timestamp,acc_x,acc_y,acc_z
0,82,43,120
0,82,43,119
1,81,42,119
2,83,42,118
2,79,39,116
2,77,35,114
3,79,36,120
4,77,36,126
4,78,37,126
5,81,39,128
5,80,40,128
5,79,40,130
6,75,41,132
6,75,38,128
6,74,39,130
7,72,40,132
7,64,38,132
7,60,36,129
8,62,37,135
8,66,39,137
8,58,38,131
8,49,33,125
8,49,29,125
10,63,29,130
10,61,30,139
10,47,28,135
11,50,25,127
11,53,22,131
11,63,21,139
11,69,21,139
12,69,19,138
12,58,15,129
12,59,11,128
12,64,9,127
13,67,8,126
13,71,9,125
13,65,9,127
13,59,9,128
13,65,7,125
14,71,7,124
14,73,7,129
14,72,9,138
14,68,10,138
15,76,8,132
15,83,7,138
15,87,11,148
15,79,16,153
16,68,18,156
16,64,14,150
16,62,8,137
16,63,5,136
17,59,6,139
17,54,6,139
17,56,6,135
17,62,5,128
17,64,6,133
18,63,6,140
18,58,5,139
18,59,2,136
18,61,0,131
19,63,0,128
19,58,0,132
19,59,-1,131
19,58,-1,130
20,56,-2,131
20,55,-3,129
20,55,-4,128
20,54,-2,129
21,55,-2,131
21,60,-3,131
21,58,-4,133
22,57,-4,135
22,58,-4,135
22,62,-5,136
23,63,-5,136
23,62,-6,136
23,60,-7,135
23,61,-7,135
24,63,-7,136
25,64,-5,137
25,64,-4,137
25,64,-3,137
26,64,-4,135
26,65,-4,134
26,64,-5,134
27,63,-4,136
27,62,-3,136
27,62,-3,136
27,62,-3,136
27,62,-2,136
28,60,-3,136
28,60,-3,136
34,59,-2,136
56,60,-1,137
78,62,-2,137
100,62,-2,137
121,62,-2,139
143,62,-4,135
165,62,-5,136
187,62,-5,136
209,63,-4,137
230,63,-4,137
254,63,-3,136
275,64,-3,135
297,63,-4,135
319,62,-4,134
340,61,-4,134
362,61,-7,133
383,61,-10,132
406,65,-19,134
428,69,-22,139
450,77,-25,135
472,91,-30,126
494,98,-35,119
516,101,-43,108
538,118,-49,92
560,126,-42,81
582,137,-39,67
604,165,-32,58
625,195,-18,45
647,217,1,26
669,208,37,9
691,239,53,-1
713,219,77,1
735,211,87,12
757,191,106,24
779,158,132,58
801,126,146,66
823,120,152,65
845,95,159,69
866,67,160,102
888,57,157,103
910,44,155,112
932,-57,164,169
954,-116,130,161
976,-123,93,162
998,-82,76,165
1020,-38,64,172
1042,-17,48,177
1064,-15,25,171
1086,-16,12,163
1107,0,8,160
1129,29,12,160
1150,47,15,161
1172,51,14,159
1194,50,14,155
1216,46,14,147
1238,49,7,139
1260,58,8,139
1283,61,14,140
1304,63,13,140
1326,63,13,137
1348,58,13,134
1370,54,11,137
1392,52,13,142
1413,50,15,142
1435,47,13,138
1457,46,11,136
1478,45,11,140
1501,45,12,141
1523,45,11,143
1545,44,9,143
1566,44,9,142
1589,47,9,143
1611,49,9,144
1633,50,10,144
1655,48,8,144
1676,48,7,145
1698,50,9,146
1720,50,10,144
1742,47,10,141
1764,48,8,142
1785,46,8,141
1807,45,7,140
1830,47,6,139
1852,47,7,139
1874,44,7,138
1896,46,6,139
1917,47,7,140
1938,48,8,141
1960,51,9,140
1983,50,9,142
