timestamp,acc_x,acc_y,acc_z
0,54,15,147
0,55,17,147
0,55,18,147
1,54,18,145
1,52,15,139
2,52,9,131
2,59,5,132
3,65,7,136
3,65,10,136
4,65,10,137
4,64,11,138
4,67,11,137
6,64,9,132
6,59,6,129
6,56,5,129
6,59,6,132
7,60,7,134
7,60,10,136
7,63,15,141
8,61,16,141
8,60,13,139
8,57,12,136
8,55,12,139
9,54,13,140
9,48,12,140
9,43,11,143
9,41,10,143
10,41,10,146
10,35,11,149
10,37,9,152
10,39,13,152
10,40,12,153
11,37,12,156
11,38,12,156
11,36,12,154
11,35,11,152
12,33,10,150
12,34,10,147
12,35,10,148
12,36,10,144
13,40,8,142
13,43,9,142
13,47,8,138
13,49,8,136
14,51,7,136
14,52,6,135
14,52,6,135
14,51,5,137
15,51,5,138
15,50,3,137
16,49,3,137
16,48,2,138
16,46,2,139
16,46,1,141
16,45,0,139
17,47,-1,141
17,47,-1,143
18,49,-2,145
18,51,-2,145
18,51,-3,146
18,50,-2,146
20,52,-2,148
21,51,0,150
21,49,0,148
21,47,0,143
21,45,-2,141
22,46,-4,137
22,43,-4,138
22,43,-3,138
22,42,-3,138
23,45,-3,140
23,45,-1,145
23,44,-1,147
23,43,0,148
24,42,-1,148
24,43,-2,149
24,43,-1,147
24,43,-3,146
25,43,-3,144
25,43,-4,143
25,43,-4,141
25,44,-5,141
25,44,-5,139
25,43,-5,139
26,44,-5,139
26,44,-7,140
26,47,-7,138
26,48,-8,140
27,48,-6,141
27,48,-5,142
27,48,-5,143
27,48,-5,143
28,47,-4,144
45,44,-3,144
67,44,-3,143
90,43,-2,143
112,41,-1,143
133,41,0,142
155,38,0,143
177,38,-1,143
199,36,-1,142
221,37,-2,142
243,37,-1,145
263,38,0,147
285,37,0,148
307,34,0,147
330,31,0,151
352,21,4,159
374,-3,9,170
396,-21,13,174
418,-36,16,171
440,-41,18,161
463,-43,21,147
484,-45,24,137
506,-43,27,128
528,-46,33,122
549,-44,42,118
571,-41,57,126
593,-23,80,145
614,15,110,167
637,25,136,187
659,17,143,194
680,14,144,195
703,32,140,185
724,55,135,164
747,78,126,147
769,107,100,116
791,121,81,102
812,126,65,94
834,128,52,87
856,130,45,83
878,138,35,74
899,129,19,64
921,129,12,62
943,132,7,67
966,134,2,71
988,134,-1,74
1009,126,-6,83
1031,120,-14,89
1054,116,-16,100
1075,110,-13,113
1097,105,-10,123
1119,114,-11,124
1140,107,-8,132
1163,95,-5,144
1184,89,-3,149
1207,82,1,154
1229,76,5,157
1251,69,11,160
1273,60,16,160
1293,53,17,153
1316,47,18,148
1337,46,19,144
1360,47,21,143
1382,45,21,139
1404,44,23,138
1426,44,24,137
1448,43,22,135
1470,44,23,138
1492,45,22,137
1514,43,20,139
1534,43,17,139
1556,45,16,140
1579,47,14,141
1601,47,14,142
1623,48,14,141
1645,48,15,142
1667,49,15,142
1689,50,15,142
1711,52,16,141
1733,55,16,139
1754,54,14,138
1776,55,13,137
1799,57,13,136
1820,57,14,136
1842,57,13,135
1864,57,13,135
1886,58,14,135
1908,58,13,135
1930,56,14,137
1952,56,13,136
1973,57,14,137
1996,58,13,138
