timestamp,acc_x,acc_y,acc_z
3,17,-199,166
5,13,-196,165
5,11,-196,166
6,10,-196,169
7,16,-196,168
7,21,-195,168
8,16,-195,166
9,-18,-167,177
10,-12,-168,171
11,-11,-168,170
12,-9,-173,160
14,-11,-178,157
15,-12,-180,157
16,-15,-181,154
23,-16,-182,153
24,-17,-182,151
24,-16,-181,150
25,-16,-182,147
25,-13,-180,149
26,-14,-180,150
27,-15,-178,147
39,-16,-183,150
40,-15,-180,155
40,-16,-179,158
41,-23,-179,162
42,-25,-174,166
43,-24,-179,171
44,-15,-179,168
45,-9,-183,165
46,-9,-185,166
46,-15,-182,165
47,-21,-182,163
47,-17,-185,159
48,-16,-188,154
49,-17,-189,156
49,-18,-187,157
53,-15,-185,159
56,-13,-188,156
58,-5,-190,156
59,-1,-190,153
61,-1,-190,154
65,-1,-193,153
66,0,-192,156
72,-1,-190,157
73,-2,-189,161
75,-5,-189,165
76,-6,-187,159
77,-3,-190,164
78,-3,-190,164
79,-6,-190,164
80,-4,-190,165
80,-4,-189,167
81,-3,-186,166
82,-3,-188,169
83,-5,-189,167
83,-5,-190,163
88,-2,-190,161
89,-6,-191,159
94,-7,-192,158
95,-7,-193,159
99,-8,-190,160
103,-10,-189,161
105,-9,-190,161
108,-8,-191,160
108,-11,-189,157
109,-9,-191,157
109,-11,-190,161
110,-14,-190,160
111,-14,-191,160
111,-11,-189,160
112,-9,-191,157
112,-8,-188,158
113,-8,-190,156
113,-9,-190,156
114,-8,-190,158
114,-9,-190,155
115,-8,-189,155
115,-10,-190,157
116,-8,-190,157
119,-9,-190,157
121,-9,-192,160
123,-12,-193,163
124,-13,-189,166
125,-16,-188,168
125,-15,-189,167
125,-9,-189,165
126,-4,-191,162
126,-1,-191,162
127,-4,-191,160
127,-2,-192,158
128,0,-192,158
128,-1,-190,157
129,-3,-190,160
129,-6,-190,162
130,-9,-189,159
130,-6,-193,163
131,-8,-193,160
131,-12,-190,162
132,-15,-190,164
132,-15,-189,164
136,-15,-188,162
137,-13,-190,160
140,-9,-190,158
140,-9,-190,157
147,-9,-189,158
171,-12,-189,160
190,-12,-189,156
213,-11,-189,157
234,-10,-188,159
256,-11,-189,157
279,-13,-190,158
300,-14,-190,157
321,-16,-190,159
344,-15,-188,158
366,-13,-190,157
387,-13,-190,159
410,-9,-190,159
432,-10,-190,158
454,-12,-190,161
496,-10,-191,161
540,-9,-190,162
546,-11,-189,160
577,-11,-190,163
578,-11,-190,162
584,-11,-188,159
607,-9,-190,155
629,-8,-189,150
651,-13,-189,147
672,-15,-189,139
695,-16,-188,136
716,-22,-186,131
738,-26,-182,121
761,-26,-180,113
783,-28,-176,96
805,-23,-175,81
827,-21,-175,79
849,-24,-161,80
871,-27,-146,83
891,-18,-134,87
914,-5,-130,86
937,11,-116,95
958,7,-101,110
980,1,-94,123
1002,10,-77,138
1022,0,0,0
1047,24,-62,181
1067,15,-54,206
1088,32,-40,218
1111,71,-49,240
1133,55,-62,266
1154,44,-59,265
1176,36,-59,260
1198,29,-74,257
1220,21,-68,249
1242,8,-62,246
1264,1,-62,259
1286,1,-61,275
1308,22,-42,268
1330,38,-43,248
1352,39,-64,247
1374,50,-58,235
1396,53,-61,222
1418,48,-67,211
1439,60,-66,195
1461,54,-75,173
1483,42,-84,151
1504,0,0,0
1525,35,-111,110
1548,33,-124,86
1570,33,-138,68
1592,32,-157,58
1614,22,-174,53
1635,7,-180,55
1658,-4,-189,61
1681,-11,-195,67
1702,-18,-201,74
1723,-20,-204,82
1746,-22,-203,99
1768,-25,-200,106
1789,-24,-201,119
1812,-24,-195,121
1833,-31,-202,128
1855,-25,-203,137
1877,-17,-198,144
1899,-24,-201,154
1920,-25,-196,155
1943,-28,-191,157
1964,-22,-193,153
1987,-23,-196,161
