timestamp,acc_x,acc_y,acc_z
0,-9,0,156
2,-6,1,155
2,-6,0,150
3,-7,0,147
4,-8,0,144
5,-8,-3,140
6,-7,-4,139
9,-8,-3,140
10,-12,-1,143
11,-13,-1,142
11,-9,-2,145
12,-9,-3,148
12,-10,-1,148
13,-13,-2,151
13,-16,0,150
14,-12,-3,151
14,-9,-2,148
14,-13,0,146
16,-13,-1,145
17,-12,-1,145
18,-8,-1,148
20,-7,0,149
22,-9,-1,147
26,-10,1,147
33,-10,-1,148
34,-10,0,147
35,-12,0,148
35,-13,1,149
36,-14,0,146
37,-12,0,148
37,-9,0,150
38,-12,1,149
39,-12,0,151
44,-11,0,153
47,-11,-1,156
49,-11,-4,162
51,-12,-3,175
51,-6,0,181
52,3,0,189
54,9,-1,187
54,18,-10,186
55,0,0,0
55,0,0,0
56,0,0,0
64,-1,-7,173
65,-12,-9,159
66,-18,-12,148
67,-24,-17,141
67,-28,-17,130
68,-39,-16,125
69,-44,-18,117
69,-43,-24,111
70,-37,-23,104
71,-37,-28,101
71,-34,-33,95
77,-33,-34,94
80,-37,-34,96
81,-44,-33,96
82,-49,-36,100
83,-45,-33,110
84,-46,-32,114
85,-49,-32,123
87,-49,-31,126
87,-50,-30,131
89,-51,-30,132
96,-45,-31,134
96,-36,-31,137
97,-32,-30,138
97,-32,-32,139
98,-32,-31,143
99,-26,-30,143
99,-22,-27,144
100,-25,-29,143
100,-27,-27,142
101,-26,-28,145
101,-26,-28,144
102,-30,-29,146
103,-30,-31,145
104,-31,-31,143
104,-31,-28,142
105,-27,-23,140
105,-29,-22,135
105,-29,-24,141
114,-35,-28,143
115,-37,-25,145
116,-38,-22,147
116,-38,-23,145
117,-37,-23,142
119,-40,-24,138
120,-42,-28,136
120,-42,-31,134
121,-43,-31,134
122,-41,-27,137
122,-41,-25,139
131,-39,-23,139
132,-35,-25,139
132,-34,-24,140
145,-35,-27,142
164,-35,-26,141
186,-42,-25,139
210,-49,-22,140
230,-50,-21,138
252,-44,-20,135
277,-40,-22,132
296,-43,-23,126
318,-46,-23,124
341,-52,-26,124
362,-50,-24,129
384,-49,-24,132
406,-53,-22,132
427,-53,-20,133
449,-51,-21,132
471,-53,-22,135
494,-53,-20,134
515,-52,-20,136
537,-55,-19,136
559,-58,-16,134
581,-60,-16,132
603,-55,-20,132
625,-50,-19,129
646,-48,-20,127
668,-42,-22,126
690,-35,-26,131
712,-32,-28,136
734,-30,-26,145
758,-33,-28,162
778,-39,-24,194
800,-50,-9,220
822,-75,0,229
844,-97,15,224
866,0,0,0
886,-85,3,176
911,-37,-12,116
930,-5,-34,63
952,-29,-26,28
975,-60,-23,6
997,-70,-19,-6
1018,-84,-9,3
1041,-99,-7,25
1061,-102,-11,52
1084,-101,-15,94
1108,-100,-10,130
1127,-98,1,166
1150,-91,14,206
1171,-85,25,243
1194,-79,23,244
1215,-47,8,231
1238,8,-12,207
1259,47,-22,192
1281,57,-32,161
1303,50,-47,131
1325,48,-53,102
1347,56,-58,79
1369,57,-60,53
1392,59,-59,39
1412,54,-60,37
1435,44,-56,50
1457,40,-45,56
1478,31,-33,67
1500,15,-24,92
1522,11,-9,101
1544,2,2,125
1565,0,10,150
1587,-13,32,172
1609,-35,43,195
1631,-33,46,210
1653,-38,57,220
1677,-70,64,230
1696,-82,58,236
1718,-85,56,251
1741,-98,68,254
1762,-112,62,238
1784,-100,55,214
1807,-89,43,184
1828,-81,35,153
1850,-72,26,123
1872,-60,19,100
1894,-53,15,90
1915,-43,15,80
1937,-31,7,77
1959,-22,4,80
1981,-12,4,88
