timestamp,acc_x,acc_y,acc_z
0,0,10,149
1,2,12,149
2,4,11,149
2,5,11,146
3,0,10,148
3,6,13,148
4,10,13,150
5,9,10,151
7,9,15,153
12,8,14,154
12,7,12,156
13,6,9,154
16,7,9,150
16,4,7,148
17,4,7,146
18,5,9,146
19,6,8,145
19,7,10,145
20,6,12,147
31,5,11,147
31,6,12,148
32,7,10,149
33,8,12,150
33,7,12,150
33,5,12,150
35,7,12,152
36,6,13,150
36,1,13,150
37,2,15,148
38,6,15,149
38,3,11,151
44,3,14,152
45,3,14,152
45,6,12,152
46,5,14,152
47,2,13,150
47,4,14,152
48,7,13,150
49,7,13,149
49,4,14,147
50,4,12,147
51,3,11,148
51,4,14,146
53,4,15,146
53,2,15,149
54,3,14,151
54,2,12,151
59,1,12,152
61,3,13,152
62,1,11,151
63,2,11,150
64,6,12,146
64,7,12,146
65,9,11,145
66,5,9,145
66,6,12,147
67,8,9,148
68,8,9,147
68,7,11,147
68,5,11,147
68,3,13,148
69,0,12,149
71,-1,12,150
71,1,15,150
75,10,14,151
77,7,16,153
78,1,17,153
79,1,17,153
80,6,17,150
81,9,14,149
81,5,14,146
82,5,15,146
83,9,12,147
83,14,12,147
84,12,14,146
84,9,13,146
85,7,16,145
86,3,14,145
87,4,16,147
88,6,18,147
88,6,18,148
89,6,19,151
92,9,16,153
94,12,17,153
95,11,16,152
96,7,18,151
96,5,17,149
97,6,19,149
97,6,17,151
97,6,18,153
98,3,19,152
98,3,19,154
99,2,16,155
99,1,18,155
100,2,21,153
100,5,22,151
102,7,20,149
118,8,19,147
139,8,18,146
160,13,18,146
183,11,14,147
205,9,17,147
227,7,18,148
248,9,16,150
270,8,18,149
293,4,17,148
314,1,15,150
336,3,16,148
359,5,16,148
380,6,14,147
402,4,14,147
425,6,16,146
446,10,15,147
468,13,14,149
491,12,11,152
510,11,15,153
533,10,15,152
555,10,15,151
576,10,15,148
599,6,14,148
621,1,14,147
643,1,15,147
665,2,15,147
687,3,15,147
709,2,16,148
729,3,16,147
752,3,16,146
774,2,16,145
796,0,16,145
818,-5,17,143
840,-12,15,145
862,-19,16,153
884,-31,19,158
906,-38,22,161
927,-35,29,167
950,-45,32,204
972,-72,59,239
994,-91,54,235
1016,-80,50,234
1038,-51,60,229
1059,-11,45,220
1081,12,34,211
1103,40,24,186
1124,0,0,0
1146,0,0,0
1168,66,-3,159
1189,67,-16,153
1210,62,-15,150
1233,67,-13,144
1255,74,-21,133
1276,72,-22,122
1299,69,-28,118
1319,62,-35,106
1342,58,-36,95
1364,64,-34,81
1386,58,-38,54
1408,42,-37,34
1430,22,-36,21
1452,-3,-36,20
1474,-20,-31,22
1496,-36,-31,22
1518,-65,-26,35
1541,-80,-22,40
1562,-77,-20,52
1584,-71,-16,70
1605,-68,2,82
1627,-81,21,87
1649,-98,17,118
1671,-94,35,141
1692,-100,40,151
1715,-115,32,158
1736,-99,28,179
1759,-73,34,192
1781,-65,39,195
1803,-67,38,201
1825,-65,43,212
1847,-63,54,208
1869,-59,49,201
1891,-45,47,198
1912,-32,49,186
1933,-23,47,183
1955,-4,41,188
1977,23,37,191
2000,55,32,191
