timestamp,acc_x,acc_y,acc_z
0,3,19,147
4,1,19,149
4,3,18,148
5,2,18,149
6,0,20,149
7,0,19,148
7,2,18,149
8,1,19,150
9,0,18,150
9,1,18,148
10,1,18,149
11,1,18,149
12,0,19,150
12,1,19,149
13,2,18,148
14,2,18,148
15,3,17,149
15,2,18,148
16,1,19,148
17,2,17,147
20,2,18,147
21,1,19,147
21,2,18,147
22,2,18,147
23,1,19,147
24,0,18,148
25,1,19,147
27,1,19,147
28,1,19,148
28,0,20,148
29,0,20,148
29,0,19,149
38,0,20,149
40,0,20,149
41,0,20,149
41,0,19,148
42,0,18,148
43,1,20,148
43,0,19,149
44,-1,20,149
45,0,21,148
45,-1,21,149
46,0,21,151
46,0,22,151
47,1,22,150
48,0,21,151
48,0,21,151
55,-1,21,150
56,0,22,150
58,-2,20,149
59,-1,21,149
59,0,20,147
60,-1,20,147
61,0,21,148
62,0,21,148
62,0,20,148
63,1,20,147
64,0,19,148
65,0,19,147
67,0,19,148
71,0,19,148
73,0,21,148
74,0,19,149
75,1,21,149
76,2,20,149
76,1,19,150
77,2,20,149
77,1,19,150
77,0,20,150
78,0,19,149
78,1,19,149
79,1,18,148
79,0,19,149
80,0,19,149
80,0,18,147
80,0,17,149
83,0,19,149
90,0,18,149
91,0,18,148
91,0,17,151
92,0,17,151
93,2,16,150
94,2,17,151
94,3,19,147
95,3,17,145
96,2,16,145
97,0,18,146
98,0,17,145
99,0,17,145
100,0,17,147
104,-1,17,149
106,-1,17,147
107,-1,16,148
108,-1,18,149
108,0,19,149
109,-1,16,149
112,0,19,150
134,-1,19,150
157,0,18,150
178,0,18,148
199,0,18,149
221,0,17,149
243,0,18,148
265,0,17,149
287,-1,18,148
309,-1,19,149
331,-1,17,147
353,0,16,147
375,0,17,147
397,0,18,146
420,-1,18,146
441,-1,19,147
463,0,18,148
484,0,17,148
506,-1,17,148
529,-2,18,149
550,-1,16,147
572,0,17,146
594,0,18,146
616,-1,17,146
638,0,17,145
660,0,17,146
682,0,18,144
703,1,18,142
725,6,19,139
747,15,16,136
769,22,12,140
791,29,15,149
813,43,12,166
836,0,0,0
856,66,20,191
878,76,23,204
900,74,28,215
922,49,35,223
944,22,48,229
965,13,49,228
988,4,52,224
1009,-8,50,218
1031,-18,55,207
1053,-33,54,196
1075,-56,48,185
1097,-66,44,174
1120,-75,44,157
1141,-88,37,137
1163,-96,26,120
1187,-95,18,107
1207,-74,4,93
1229,-62,-3,87
1251,-57,-11,84
1273,-58,-15,79
1294,-55,-19,77
1316,-49,-22,71
1338,-39,-29,62
1360,-31,-35,57
1382,-24,-42,52
1404,-16,-47,46
1426,-5,-44,38
1448,2,-42,30
1470,25,-44,21
1492,31,-53,30
1514,32,-51,38
1535,34,-48,46
1557,35,-48,63
1579,47,-34,76
1603,62,-30,90
1623,60,-19,108
1644,59,-2,114
1668,57,-6,139
1689,73,-10,157
1710,0,0,0
1731,0,0,0
1753,95,27,207
1775,82,43,237
1796,65,45,253
1820,47,53,271
1840,35,62,273
1862,18,62,270
1883,6,61,258
1906,-9,57,234
1928,-18,56,217
1949,-23,53,200
1971,-24,48,183
1993,0,0,0
