timestamp,acc_x,acc_y,acc_z
0,-6,-72,129
1,-7,-73,127
2,-8,-73,125
2,-6,-75,123
3,-6,-75,122
5,-8,-76,122
5,-7,-77,121
8,-8,-76,123
9,-7,-76,123
10,-9,-77,124
11,-12,-78,125
12,-12,-77,126
12,-13,-76,126
14,-10,-77,128
15,-7,-78,129
15,-6,-77,130
16,-7,-77,130
16,-7,-78,130
18,-6,-79,126
18,-7,-78,123
19,-8,-80,121
20,-9,-83,120
21,-6,-85,122
22,-6,-85,123
28,-3,-85,125
28,-4,-81,127
29,-4,-78,126
29,-6,-78,126
30,-9,-79,123
31,-10,-80,118
31,-12,-83,116
32,-14,-84,115
44,-15,-83,116
45,-14,-83,117
45,-15,-80,118
46,-14,-78,119
46,-16,-77,120
47,-17,-77,119
47,-16,-76,120
48,-17,-77,119
48,-18,-78,120
49,-18,-78,119
52,-15,-79,121
53,-16,-79,122
54,-14,-78,121
55,-13,-80,121
56,-13,-81,120
60,-13,-81,121
62,-9,-85,124
63,-6,-84,126
64,-4,-81,127
65,-7,-81,127
65,-8,-79,127
66,-8,-79,126
72,-9,-80,124
73,-9,-79,124
76,-13,-79,121
78,-12,-80,121
79,-11,-81,121
79,-11,-80,121
80,-10,-80,121
84,-10,-79,123
84,-9,-79,123
85,-11,-79,123
86,-12,-79,124
87,-11,-80,124
87,-10,-81,124
88,-9,-81,124
88,-9,-80,123
89,-9,-81,125
89,-9,-82,124
94,-10,-80,123
94,-8,-80,124
96,-10,-81,122
96,-9,-81,123
100,-8,-81,122
100,-9,-81,122
101,-10,-80,122
101,-9,-82,122
106,-9,-81,121
112,-9,-82,121
114,-8,-82,120
115,-9,-82,121
115,-8,-81,121
116,-10,-81,122
116,-10,-82,122
117,-10,-81,122
117,-10,-81,122
117,-10,-81,123
118,-10,-81,124
118,-10,-80,124
119,-10,-80,124
119,-10,-80,123
120,-9,-80,123
120,-10,-80,122
121,-10,-81,123
122,-9,-80,123
145,-10,-81,121
166,-10,-82,121
187,-9,-81,122
211,-11,-80,122
231,-12,-81,121
252,-9,-81,122
275,-10,-80,123
297,-12,-78,123
319,-12,-80,123
341,-12,-80,124
363,-13,-79,124
385,-13,-80,123
407,-13,-80,124
429,-13,-80,123
451,-12,-81,124
473,-11,-81,123
494,-12,-81,122
517,-11,-81,123
539,-11,-81,121
560,-11,-80,120
581,-13,-81,115
604,-14,-81,110
625,-15,-80,102
648,-16,-76,83
670,-19,-72,61
692,-19,-67,31
714,-18,-66,1
736,-8,-66,-25
758,0,-62,-48
778,0,-38,-56
800,1,-10,-44
823,-2,18,-23
844,-7,42,6
866,4,68,28
887,29,95,53
910,60,100,72
931,84,129,106
953,78,162,129
974,72,169,145
997,93,171,155
1018,122,202,164
1041,128,207,171
1063,113,210,154
1084,118,206,149
1106,104,197,151
1128,91,207,143
1150,84,221,124
1171,96,205,143
1194,49,189,172
1216,34,174,171
1238,17,192,159
1259,49,197,148
1281,77,174,131
1303,90,155,115
1325,76,143,99
1347,60,136,89
1369,0,0,0
1390,53,122,68
1412,53,117,61
1434,54,120,54
1456,46,122,48
1477,43,123,46
1499,41,127,42
1522,37,129,39
1543,33,129,40
1565,33,128,38
1612,33,130,37
1618,34,133,36
1631,36,134,36
1654,35,134,34
1675,32,135,32
1697,31,133,33
1719,30,131,32
1741,31,135,32
1763,33,130,36
1784,32,128,36
1806,33,126,33
1828,34,128,34
1849,33,128,33
1872,33,128,31
1894,33,128,32
1916,31,129,31
1938,31,129,30
1959,29,129,32
1982,28,129,32
