timestamp,acc_x,acc_y,acc_z
0,54,127,27
1,59,126,27
2,58,123,26
2,55,121,26
3,50,122,28
4,52,122,28
5,53,121,27
5,56,122,26
6,59,123,26
12,61,122,24
13,61,122,24
15,60,122,24
16,60,122,24
16,60,123,24
17,60,123,24
17,61,124,26
18,62,124,28
18,63,124,27
19,62,125,29
19,59,124,28
31,57,122,29
32,54,122,29
33,53,123,28
34,54,122,28
35,55,122,27
36,57,121,26
37,57,123,26
37,56,124,26
39,55,125,26
39,55,125,25
40,55,124,25
41,54,123,26
41,54,123,25
45,54,123,26
46,55,123,26
47,56,123,27
48,56,124,27
48,56,126,28
49,56,125,28
49,55,124,28
51,53,123,27
51,53,123,27
52,53,123,27
52,55,123,26
54,56,123,26
54,55,123,26
56,54,124,27
57,53,124,27
57,54,124,27
58,54,125,27
58,55,123,27
63,55,123,27
64,56,125,28
65,56,124,28
65,56,123,28
66,55,124,29
66,55,124,30
67,56,125,29
68,55,124,28
68,54,123,28
70,54,124,28
71,54,124,28
71,54,123,26
72,55,123,27
73,57,125,25
73,55,125,25
74,53,122,26
78,52,123,27
80,52,123,27
81,53,124,27
82,52,125,28
83,50,126,27
83,50,126,27
83,49,126,27
86,49,126,27
86,49,126,27
87,50,125,26
87,50,125,26
88,49,124,27
88,51,124,27
89,52,123,26
90,53,124,26
90,54,122,26
91,54,125,27
96,55,126,27
96,55,125,26
97,55,125,27
97,54,125,28
99,53,126,28
99,53,125,27
100,53,125,26
100,52,125,27
102,52,124,26
103,52,123,26
103,51,123,25
104,52,124,26
114,53,123,25
136,54,124,25
158,54,125,27
180,54,125,28
201,55,125,28
223,57,126,28
245,63,127,30
267,75,131,39
289,90,138,56
311,118,154,68
334,149,178,91
355,164,192,101
376,166,210,116
399,155,215,126
421,148,207,129
444,143,197,135
465,121,173,128
487,93,142,113
508,75,110,97
530,0,0,0
551,65,67,85
573,63,49,92
595,76,34,125
617,80,25,123
638,84,24,117
679,92,15,111
681,89,4,99
720,70,-9,87
735,49,-33,84
747,-5,-64,87
770,-49,-51,105
790,-48,-52,120
813,-6,-52,134
835,28,-36,149
857,56,-20,159
879,53,-10,163
900,40,-13,152
923,31,-15,139
945,14,-12,133
967,1,-18,124
989,-6,-22,111
1011,-13,-25,103
1032,-25,-30,96
1054,-22,-37,85
1077,-12,-34,78
1098,-15,-41,78
1120,-19,-48,67
1142,-21,-60,63
1164,-31,-64,62
1186,-31,-68,61
1208,-26,-71,63
1230,-25,-76,63
1252,-24,-81,64
1274,-33,-90,72
1296,-29,-90,78
1317,-20,-92,85
1339,-17,-93,91
1362,-24,-94,94
1383,-29,-91,100
1405,-30,-90,111
1428,-32,-92,115
1449,-32,-91,118
1470,-26,-91,120
1495,-23,-91,122
1515,-21,-88,123
1537,-22,-87,123
1560,-25,-88,121
1581,-25,-88,119
1603,-23,-88,119
1625,-21,-88,119
1646,-23,-88,116
1668,-24,-89,114
1690,-23,-89,114
1712,-23,-87,116
1734,-25,-87,115
1756,-25,-87,115
1778,-25,-86,115
1800,-26,-85,115
1822,-28,-85,115
1845,-28,-85,114
1866,-28,-84,115
1888,-27,-85,115
1909,-28,-86,112
1931,-28,-86,113
1953,-26,-86,114
1975,-27,-84,115
1997,-27,-84,114
