timestamp,acc_x,acc_y,acc_z
0,59,123,25
1,58,123,25
2,58,122,24
2,59,122,25
3,59,122,25
3,58,122,25
4,58,122,25
4,58,122,25
5,58,123,25
5,60,122,25
6,61,123,25
6,61,123,27
9,63,124,27
9,64,123,28
10,64,123,30
10,64,122,30
11,62,121,29
11,61,120,29
12,60,119,28
12,58,119,29
14,58,119,28
15,58,119,28
16,58,120,27
20,57,120,26
22,57,120,28
22,56,120,27
33,55,123,28
34,56,122,28
34,58,121,28
35,58,121,27
36,58,121,27
37,58,120,26
38,58,121,27
38,59,120,28
39,59,121,27
44,59,121,28
46,59,121,28
46,59,122,28
47,60,123,28
47,60,124,29
48,59,123,28
49,60,123,28
49,60,122,28
50,59,122,27
51,60,123,28
51,60,123,27
52,60,123,27
52,59,122,28
53,59,122,28
53,58,123,27
54,59,123,28
55,58,123,27
61,57,123,28
62,57,123,27
63,57,123,27
64,57,122,27
64,57,123,26
65,57,123,26
65,56,123,27
66,56,122,27
67,56,124,27
67,57,124,26
68,56,122,26
69,56,122,28
69,57,123,27
70,56,123,27
70,57,123,27
72,57,123,26
72,56,124,27
80,56,124,27
80,56,122,26
81,56,122,27
81,56,124,27
82,56,123,27
82,57,124,27
83,56,123,27
83,56,123,27
83,56,123,27
84,56,122,25
84,57,121,25
85,57,121,26
85,57,121,26
86,57,122,26
86,57,122,26
87,58,122,27
87,58,123,27
88,58,123,28
88,57,124,27
88,57,123,28
95,58,123,28
96,57,123,28
97,58,123,27
97,57,122,28
97,58,123,28
97,58,124,28
98,58,124,27
106,58,122,27
129,58,122,28
151,58,123,27
173,58,123,27
194,59,124,29
216,63,125,31
238,68,125,34
261,69,127,38
282,73,127,43
304,80,127,51
326,102,132,56
348,134,140,61
370,155,152,65
392,182,164,76
414,234,169,90
435,269,177,98
457,251,180,105
480,213,180,112
502,188,158,106
523,150,114,90
544,119,90,75
567,89,71,67
603,59,51,57
610,34,33,49
632,21,15,50
654,2,-9,52
675,-1,-35,54
697,-4,-48,52
719,-3,-52,52
740,9,-60,55
763,22,-64,57
785,28,-66,58
807,41,-77,55
829,53,-82,48
850,75,-90,38
873,93,-100,25
895,97,-110,14
917,90,-107,6
939,81,-112,0
961,78,-113,13
983,80,-105,28
1005,74,-97,49
1026,65,-95,65
1048,58,-82,86
1069,37,-65,95
1092,38,-52,94
1113,31,-34,101
1136,23,-25,119
1157,21,-17,136
1180,23,-12,151
1202,31,-16,162
1223,30,-25,160
1246,30,-33,157
1268,32,-46,149
1289,34,-56,144
1312,38,-60,139
1332,41,-65,134
1354,43,-65,130
1376,43,-67,131
1399,43,-68,129
1421,42,-68,128
1442,43,-70,126
1464,44,-72,124
1487,43,-71,125
1508,41,-71,124
1531,41,-71,123
1553,42,-73,121
1574,44,-72,120
1597,42,-75,119
1618,42,-75,119
1640,41,-75,118
1663,40,-75,117
1683,41,-74,121
1705,40,-73,123
1727,41,-77,124
1750,42,-78,124
1772,41,-77,121
1793,39,-78,120
1815,40,-80,121
1838,42,-80,120
1860,43,-79,121
1882,41,-77,120
1903,40,-76,119
1925,39,-76,119
1947,38,-75,119
1969,38,-75,118
1991,39,-74,122
