timestamp,acc_x,acc_y,acc_z
0,32,-97,96
0,36,-102,96
0,39,-109,97
1,40,-113,96
1,42,-113,96
1,43,-111,101
2,42,-108,104
2,38,-105,105
2,42,-104,100
2,41,-104,99
3,41,-102,98
3,38,-98,99
3,37,-96,98
4,33,-97,96
4,35,-99,96
4,38,-99,95
4,36,-99,96
4,36,-102,95
4,34,-104,95
5,34,-108,93
5,36,-103,96
5,38,-103,97
6,39,-101,98
6,40,-98,100
6,39,-98,100
6,37,-100,99
7,37,-100,99
7,40,-102,97
7,42,-101,95
7,41,-101,95
8,38,-102,95
8,36,-104,94
9,36,-103,93
9,38,-102,94
9,36,-102,96
9,35,-101,97
10,34,-102,97
10,37,-100,97
11,37,-100,98
11,37,-99,99
11,36,-98,100
11,35,-100,98
12,38,-101,96
15,37,-100,96
15,37,-101,97
15,38,-101,98
15,38,-100,98
15,38,-101,98
15,37,-101,98
17,37,-101,98
17,38,-101,98
17,39,-101,98
17,40,-100,98
17,38,-100,99
17,37,-100,98
18,36,-99,100
18,36,-101,97
18,37,-101,97
18,36,-98,97
18,34,-99,99
19,33,-100,98
20,35,-99,97
20,38,-100,96
21,38,-99,97
21,36,-98,98
21,34,-99,96
22,35,-98,96
22,36,-98,97
22,35,-98,98
22,34,-99,100
23,35,-99,98
23,35,-99,100
23,36,-100,99
23,37,-99,100
24,38,-98,100
24,39,-99,100
24,39,-99,99
24,38,-99,100
25,39,-100,101
25,39,-100,101
25,40,-99,100
26,39,-99,99
26,38,-98,101
26,38,-100,99
27,38,-98,98
27,39,-98,100
27,38,-99,98
27,38,-99,97
27,38,-99,98
28,38,-100,98
28,39,-100,99
28,40,-101,98
31,40,-99,99
53,41,-99,98
75,39,-99,99
97,37,-97,100
118,36,-98,98
140,37,-98,97
162,37,-97,96
184,35,-97,95
206,31,-95,96
228,28,-96,96
250,24,-96,95
271,19,-94,91
294,14,-88,86
316,13,-74,84
337,16,-60,87
359,19,-48,93
382,16,-38,94
403,9,-36,100
425,24,-38,124
446,35,-35,123
469,48,-31,117
490,78,-31,125
512,97,-42,128
534,109,-50,121
557,127,-50,121
579,127,-63,143
600,117,-74,135
622,116,-70,128
644,116,-61,117
666,112,-55,127
688,106,-51,161
710,106,-51,177
732,96,-59,179
753,92,-55,176
775,90,-50,173
797,94,-39,175
819,91,-35,172
841,93,-33,165
863,84,-36,162
885,72,-41,153
907,69,-46,143
929,69,-49,132
951,74,-52,123
973,71,-54,101
994,78,-58,89
1016,76,-61,72
1038,75,-64,51
1060,71,-69,36
1082,66,-76,31
1104,57,-91,0
1127,39,-96,-8
1148,30,-103,-9
1170,24,-105,0
1192,19,-108,6
1214,20,-110,18
1236,27,-113,37
1258,31,-116,49
1279,30,-120,53
1301,29,-124,56
1323,32,-127,59
1345,38,-128,68
1367,48,-127,65
1389,54,-127,64
1411,56,-125,66
1433,55,-124,65
1454,55,-123,64
1477,55,-121,64
1498,53,-120,64
1521,51,-119,62
1542,51,-117,66
1564,50,-117,66
1585,51,-115,65
1607,50,-114,65
1630,45,-114,67
1651,44,-114,69
1674,42,-115,68
1696,44,-114,69
1717,45,-114,72
1739,45,-115,69
1761,46,-116,65
1783,46,-116,65
1805,46,-116,66
1828,48,-115,67
1849,49,-115,67
1871,48,-118,67
1893,47,-117,65
1915,48,-117,67
1936,50,-116,68
1958,49,-116,67
1980,47,-117,67
