timestamp,acc_x,acc_y,acc_z
0,41,-97,106
0,43,-98,106
0,42,-98,106
1,43,-97,107
1,46,-96,105
1,48,-97,106
2,51,-99,104
2,51,-97,101
2,53,-98,99
2,54,-100,98
3,55,-97,99
3,55,-96,98
3,55,-96,98
3,55,-94,98
4,55,-92,97
4,53,-90,96
4,50,-87,94
5,51,-85,95
5,52,-90,95
5,51,-93,95
5,52,-97,95
6,54,-99,96
6,52,-100,95
6,52,-103,94
6,52,-102,94
7,52,-104,92
7,52,-100,91
7,54,-102,94
7,54,-99,94
8,57,-97,96
8,58,-97,95
8,58,-96,95
8,56,-97,95
9,55,-97,96
9,56,-97,96
9,55,-98,96
9,54,-98,94
9,55,-99,94
10,54,-97,94
10,55,-98,93
10,55,-97,92
10,54,-96,93
11,55,-96,94
11,56,-96,93
11,56,-96,93
11,56,-96,94
12,53,-95,96
12,53,-95,95
12,53,-96,95
12,52,-95,96
13,50,-96,97
13,52,-95,97
13,52,-95,96
13,53,-96,97
14,54,-95,96
14,54,-95,96
14,54,-96,96
14,56,-96,96
14,55,-96,95
14,56,-96,95
16,56,-95,95
17,55,-95,95
17,55,-94,95
17,53,-95,96
17,54,-96,95
18,54,-96,96
18,53,-96,97
19,53,-95,99
19,53,-95,99
19,53,-96,99
20,54,-96,98
20,54,-96,97
20,53,-95,96
20,54,-95,96
20,54,-94,95
21,55,-94,95
22,55,-93,95
22,53,-95,95
22,55,-95,96
22,54,-95,97
22,53,-95,97
23,52,-95,97
23,51,-95,98
23,53,-94,97
23,53,-94,97
24,53,-95,96
24,53,-96,96
24,52,-95,96
24,51,-95,96
24,53,-95,97
24,53,-96,97
25,53,-96,97
30,54,-96,97
51,54,-96,97
73,54,-95,97
96,54,-96,96
116,53,-96,95
139,52,-96,96
161,53,-95,96
182,54,-96,97
204,54,-95,98
226,52,-92,99
248,50,-89,103
270,48,-87,106
292,49,-83,108
314,45,-72,117
336,44,-58,121
358,39,-41,136
380,40,-38,143
402,35,-40,148
424,32,-45,158
445,33,-44,164
467,41,-48,166
489,56,-57,168
512,60,-63,167
533,65,-65,161
555,71,-66,152
577,74,-67,142
599,81,-65,132
621,88,-66,118
643,92,-74,99
664,87,-73,90
686,90,-71,72
708,93,-70,54
731,96,-66,34
752,96,-66,17
775,104,-64,-3
796,101,-69,-13
818,100,-78,-20
840,106,-82,-28
861,116,-85,-36
882,111,-91,-39
904,101,-96,-35
927,107,-95,-34
949,112,-93,-32
971,106,-91,-30
993,91,-86,-18
1015,89,-81,-13
1037,92,-75,-4
1058,89,-67,12
1080,90,-56,26
1102,86,-50,41
1123,89,-40,70
1146,109,-28,112
1168,128,-18,140
1190,126,-20,155
1212,120,-28,159
1234,105,-31,155
1256,105,-25,165
1278,127,-18,187
1300,118,-7,174
1321,97,-9,179
1343,98,-2,191
1364,98,6,197
1387,88,12,204
1409,67,11,194
1431,56,8,169
1453,71,10,159
1475,86,10,150
1496,87,8,140
1518,87,9,135
1540,99,6,130
1562,122,2,123
1584,135,2,121
1606,139,1,118
1628,124,-3,105
1650,122,-9,97
1671,168,-11,76
1693,163,-20,56
1716,120,-30,58
1737,106,-42,62
1759,119,-43,54
1781,137,-41,44
1803,161,-37,36
1825,150,-46,41
1847,124,-56,39
1869,108,-64,33
1891,114,-66,25
1913,124,-66,24
1935,129,-67,25
1956,128,-67,31
1978,111,-70,44
2000,104,-70,51
