timestamp,acc_x,acc_y,acc_z
0,32,-70,125
0,32,-71,126
0,32,-72,125
0,32,-73,126
1,32,-72,125
1,34,-71,125
1,33,-71,126
1,32,-71,125
2,32,-72,124
2,33,-72,124
2,32,-71,124
2,32,-71,124
3,32,-70,125
3,33,-71,126
3,32,-70,125
3,32,-70,124
4,33,-70,125
4,32,-71,127
4,31,-71,129
4,31,-71,130
5,32,-72,127
5,33,-72,126
5,33,-71,125
5,32,-70,124
6,32,-70,123
6,32,-71,123
6,32,-71,124
6,32,-72,125
7,34,-70,125
7,33,-70,126
7,34,-70,127
7,34,-70,127
7,32,-72,127
8,33,-71,127
8,31,-71,126
9,32,-71,125
9,32,-71,125
9,32,-69,125
9,32,-71,125
10,33,-71,125
10,31,-72,123
11,33,-71,126
11,34,-71,126
11,31,-71,125
11,34,-71,125
12,33,-71,125
13,32,-71,126
14,33,-72,126
14,33,-71,126
14,32,-71,127
16,33,-71,126
16,33,-71,126
16,32,-70,126
16,32,-71,126
16,32,-70,124
16,32,-70,126
17,32,-71,125
17,32,-71,125
17,32,-71,125
17,32,-71,125
18,32,-70,125
18,32,-71,126
18,32,-72,127
18,32,-71,128
18,33,-71,126
19,32,-71,126
19,32,-72,125
19,33,-72,126
20,32,-70,126
20,33,-70,126
20,32,-70,127
20,32,-70,125
21,32,-71,125
21,31,-71,124
21,31,-71,123
21,31,-71,124
22,32,-70,127
22,32,-71,126
22,34,-70,127
22,33,-72,126
23,32,-72,127
23,32,-71,125
23,33,-70,126
24,33,-70,125
24,31,-71,127
24,32,-71,127
24,31,-71,125
24,31,-71,125
24,31,-71,126
26,32,-70,126
26,32,-70,126
26,32,-69,125
26,31,-71,126
39,31,-71,126
62,31,-70,126
84,32,-70,124
104,32,-69,124
127,31,-69,125
149,30,-69,125
171,30,-68,124
193,27,-64,121
215,26,-61,121
237,21,-53,121
259,15,-46,119
281,14,-41,118
303,14,-34,118
324,4,-30,125
346,1,-30,134
368,0,-30,143
390,-5,-32,155
412,-7,-34,163
434,0,-36,167
456,10,-37,173
478,17,-40,184
500,17,-45,189
522,23,-52,190
543,32,-55,191
565,47,-57,188
587,52,-62,184
609,64,-66,178
631,73,-69,171
653,80,-76,163
675,84,-83,156
697,86,-88,151
718,89,-93,140
741,89,-96,126
762,85,-97,121
784,83,-96,109
806,80,-92,101
828,73,-89,93
850,67,-88,85
872,59,-87,72
894,52,-89,66
916,43,-88,61
938,39,-85,56
959,34,-82,60
981,28,-79,60
1003,18,-72,61
1025,12,-69,58
1047,5,-65,58
1069,-3,-63,57
1091,-12,-60,56
1113,-19,-59,57
1134,-33,-54,62
1157,-39,-52,65
1178,-41,-53,70
1200,-45,-52,78
1221,-46,-54,85
1244,-47,-57,90
1266,-45,-57,104
1289,-49,-59,115
1310,-53,-61,123
1332,-51,-64,126
1354,-41,-69,126
1376,-36,-75,127
1398,-38,-76,138
1418,-40,-80,145
1441,-29,-83,147
1463,-21,-87,151
1485,-12,-87,162
1507,-7,-87,174
1529,0,-87,172
1550,20,-82,169
1573,31,-81,168
1594,31,-84,162
1616,28,-86,155
1638,29,-84,147
1660,26,-80,144
1688,18,-74,141
1703,16,-72,135
1726,18,-70,131
1748,17,-68,129
1770,17,-64,129
1792,16,-61,129
1813,16,-58,128
1836,18,-57,129
1857,16,-58,128
1879,17,-58,129
1900,18,-58,130
1923,18,-56,131
1944,22,-55,132
1967,23,-56,134
1989,17,-58,132
