timestamp,acc_x,acc_y,acc_z
0,6,-101,103
0,6,-99,104
0,5,-98,103
0,7,-98,102
1,9,-98,102
1,10,-100,101
1,9,-102,101
2,8,-102,100
2,8,-103,101
2,7,-105,100
3,8,-104,100
3,8,-105,102
3,7,-103,103
3,8,-102,102
3,8,-101,102
3,8,-100,102
5,6,-100,100
6,9,-99,102
6,8,-100,101
6,7,-100,100
7,6,-101,99
7,5,-101,103
7,4,-101,101
7,4,-101,102
8,7,-101,103
8,8,-102,102
8,12,-101,104
8,11,-101,105
9,10,-101,105
9,13,-101,104
9,11,-101,103
10,10,-102,105
10,10,-103,105
10,9,-103,104
10,8,-102,104
11,8,-102,103
11,8,-101,103
11,7,-101,102
11,9,-101,102
12,6,-101,102
12,6,-100,101
12,6,-100,102
12,6,-101,100
13,7,-101,101
13,7,-101,101
13,7,-101,102
13,8,-100,103
14,9,-100,103
14,8,-100,103
14,9,-102,102
14,7,-101,101
15,6,-102,101
15,6,-102,101
15,6,-102,101
15,6,-101,101
15,7,-102,103
15,6,-102,102
16,8,-100,102
16,9,-100,103
16,8,-101,103
16,7,-101,103
16,9,-101,102
17,8,-101,101
17,8,-103,101
17,6,-102,102
17,6,-102,103
17,6,-101,101
18,8,-101,102
18,8,-101,102
18,7,-102,103
18,10,-100,103
19,6,-101,103
19,7,-100,104
19,6,-101,104
19,5,-102,102
20,6,-102,102
21,8,-101,102
21,7,-101,103
21,8,-100,103
22,8,-100,104
22,6,-101,104
23,7,-101,103
23,7,-101,102
23,7,-101,102
23,6,-101,102
24,6,-102,102
26,6,-102,103
26,7,-101,103
26,7,-102,103
27,7,-101,102
27,7,-102,102
27,6,-101,102
27,5,-101,102
48,6,-102,101
71,4,-101,103
92,5,-100,104
115,5,-99,103
135,4,-101,103
158,3,-101,102
180,4,-101,102
201,4,-100,103
223,3,-101,101
246,4,-101,102
267,4,-100,102
290,3,-100,102
312,2,-101,102
334,1,-100,102
356,0,-100,102
377,-2,-99,103
398,-6,-97,104
421,-15,-93,104
446,-19,-88,101
478,-18,-82,98
502,-19,-77,96
508,-16,-78,93
530,-9,-76,87
552,4,-75,79
574,12,-73,75
596,20,-72,72
618,32,-73,70
640,45,-76,68
662,55,-76,72
684,57,-72,89
706,61,-72,116
728,63,-72,126
750,69,-69,132
772,76,-68,152
793,74,-64,174
815,66,-64,185
837,57,-66,193
859,55,-66,196
881,53,-59,201
903,52,-54,199
925,45,-54,191
947,37,-52,184
969,33,-48,165
991,23,-45,164
1012,8,-41,165
1035,-8,-40,165
1057,-21,-41,164
1078,-28,-38,164
1099,-32,-36,161
1122,-37,-36,161
1144,-43,-36,158
1165,-43,-38,155
1188,-42,-38,152
1210,-44,-39,149
1231,-44,-42,144
1253,-45,-43,139
1275,-45,-46,134
1297,-45,-48,128
1319,-41,-49,125
1341,-42,-50,121
1363,-41,-51,113
1385,-40,-54,104
1407,-37,-54,98
1429,-35,-56,95
1451,-35,-61,91
1473,-31,-64,87
1494,-23,-65,82
1516,-17,-70,77
1538,-9,-73,72
1560,0,-75,68
1582,6,-75,63
1604,12,-82,60
1626,31,-92,53
1647,42,-98,54
1670,47,-107,61
1692,47,-114,68
1713,44,-122,79
1735,42,-129,89
1757,33,-134,106
1779,29,-136,115
1801,22,-136,123
1822,18,-130,127
1845,17,-126,126
1867,15,-122,125
1889,14,-117,122
1911,19,-106,115
1932,23,-101,111
1954,21,-98,108
1976,17,-97,104
1998,16,-98,101
