timestamp,acc_x,acc_y,acc_z
0,-14,-122,68
0,-16,-120,69
1,-17,-120,68
1,-19,-120,68
1,-19,-121,69
1,-19,-121,68
1,-20,-119,69
2,-20,-120,70
2,-22,-121,72
2,-22,-120,71
3,-19,-120,71
3,-17,-121,72
3,-17,-120,73
3,-17,-119,75
4,-18,-119,76
4,-18,-120,78
4,-18,-118,78
4,-17,-117,79
6,-15,-118,78
6,-13,-118,77
6,-12,-118,78
6,-13,-117,76
7,-11,-116,74
7,-10,-116,73
7,-9,-117,74
7,-9,-117,74
8,-8,-116,75
8,-10,-117,77
8,-10,-118,78
9,-10,-119,80
9,-11,-118,79
9,-10,-117,80
9,-9,-118,79
10,-7,-118,78
10,-8,-118,80
10,-10,-117,79
10,-10,-117,79
10,-10,-117,79
11,-10,-117,81
11,-10,-117,81
11,-12,-118,81
11,-13,-118,80
12,-14,-118,81
12,-14,-117,81
12,-13,-116,79
12,-12,-118,78
13,-12,-119,80
13,-13,-118,78
13,-13,-117,78
13,-13,-115,78
14,-13,-116,78
14,-13,-117,75
14,-14,-117,75
14,-14,-116,77
15,-14,-118,76
15,-15,-117,78
15,-16,-117,78
15,-15,-117,78
16,-13,-118,79
16,-14,-118,80
16,-15,-119,79
16,-13,-117,78
16,-11,-117,76
17,-12,-116,78
17,-12,-115,78
17,-12,-114,80
17,-13,-115,79
17,-13,-115,80
17,-13,-116,80
18,-14,-116,80
18,-14,-115,81
18,-14,-117,80
18,-13,-118,80
19,-12,-118,79
20,-12,-118,81
20,-13,-118,79
20,-12,-117,79
20,-12,-116,79
21,-12,-116,79
21,-12,-115,79
22,-13,-117,80
22,-14,-115,80
22,-14,-115,81
23,-14,-115,80
24,-14,-115,79
24,-14,-115,79
24,-14,-116,80
26,-14,-116,79
28,-15,-116,80
29,-14,-117,78
29,-14,-116,78
29,-13,-117,79
30,-12,-118,79
47,-13,-118,78
70,-13,-116,80
91,-13,-117,80
113,-13,-116,81
134,-12,-117,82
157,-13,-117,80
178,-12,-116,81
201,-11,-117,81
223,-12,-117,81
245,-12,-117,81
266,-12,-116,82
288,-10,-116,80
310,-11,-115,78
332,-17,-115,71
354,-20,-118,64
376,-21,-120,61
398,-18,-120,58
420,-12,-119,50
442,-16,-119,46
464,-22,-118,35
485,-17,-114,31
507,-5,-108,27
529,1,-99,36
551,1,-88,58
573,0,-74,74
595,-6,-62,76
616,-8,-52,89
639,-9,-42,102
661,-6,-31,112
683,-3,-24,123
704,3,-16,136
727,4,-3,152
748,5,0,158
769,8,2,168
790,11,4,168
812,11,4,181
834,1,9,187
855,-2,13,198
877,-3,17,188
899,3,17,175
921,11,17,169
942,19,16,180
964,21,17,191
985,-24,25,259
1008,-54,25,238
1030,21,-10,156
1052,10,-10,129
1073,15,-8,111
1096,14,-5,112
1118,5,1,130
1139,-4,4,157
1160,0,7,173
1181,18,8,168
1203,23,6,155
1224,22,6,146
1247,17,8,147
1269,13,9,148
1291,12,6,152
1313,10,6,153
1336,10,4,151
1357,10,4,148
1379,11,5,148
1402,14,5,149
1422,15,6,150
1444,14,6,147
1466,14,5,148
1488,14,6,150
1510,12,5,149
1532,13,4,147
1554,15,6,147
1576,14,4,149
1598,15,5,150
1620,15,5,148
1642,17,3,149
1663,18,3,149
1684,17,3,150
1707,17,3,148
1729,17,4,150
1751,16,4,148
1773,16,4,147
1794,15,5,149
1817,16,5,150
1839,15,4,148
1860,14,5,148
1883,15,5,148
1904,16,5,148
1928,17,5,150
1948,16,4,149
1970,16,3,149
1992,16,4,148
