timestamp,acc_x,acc_y,acc_z
0,-16,-107,96
0,-17,-106,95
1,-17,-106,95
1,-15,-104,95
1,-16,-105,96
1,-15,-105,96
2,-14,-107,95
2,-15,-105,93
2,-8,-8,145
3,-7,-8,147
3,-4,-7,148
3,-2,-6,148
3,-2,-6,147
4,-4,-7,146
4,-4,-6,146
4,-5,-6,145
4,-2,-7,146
5,-3,-5,151
5,-7,-7,151
5,-6,-10,149
5,-1,-10,149
6,-1,-10,150
6,-2,-9,151
6,0,-9,151
6,0,-9,150
7,0,-9,149
7,0,-8,151
7,0,-7,150
7,1,-6,148
8,2,-7,146
8,4,-5,148
8,1,-7,149
8,-1,-8,150
9,-1,-8,149
9,1,-9,147
9,2,-8,148
9,3,-8,149
10,3,-8,151
10,2,-9,148
10,2,-9,147
10,2,-8,149
11,0,-7,149
12,2,-7,150
12,1,-8,150
12,2,-8,147
12,3,-7,148
12,2,-7,149
12,1,-7,149
13,3,-8,148
13,2,-7,149
14,1,-8,149
14,3,-9,148
14,3,-8,149
14,5,-8,151
14,3,-8,149
18,2,-9,148
18,4,-10,148
19,4,-8,149
19,4,-8,149
19,2,-8,148
19,1,-7,148
20,2,-8,148
20,1,-8,150
20,1,-8,148
20,5,-9,149
21,6,-8,149
21,4,-9,148
21,2,-9,147
21,5,-9,149
22,3,-8,150
22,1,-8,147
22,5,-8,148
22,3,-7,149
22,2,-7,148
22,3,-8,147
24,7,-7,150
24,4,-9,150
24,2,-9,148
24,5,-9,148
24,5,-9,149
24,3,-9,150
24,2,-9,150
25,3,-9,149
25,3,-9,148
25,4,-9,147
25,3,-8,149
26,4,-7,150
26,4,-8,148
27,4,-8,149
27,3,-7,149
27,3,-8,150
27,3,-8,149
28,4,-8,150
28,5,-8,148
28,3,-8,148
28,3,-7,150
28,1,-8,148
29,1,-7,148
29,4,-8,146
29,4,-7,150
51,3,-7,151
73,1,-8,149
95,3,-8,148
117,5,-8,147
139,4,-7,147
160,2,-6,151
181,1,-5,151
204,3,-7,148
226,5,-7,146
248,6,-6,150
270,0,-6,154
292,-19,-11,163
314,-33,-14,180
336,-47,-17,196
358,-41,-15,204
380,-26,-13,197
401,9,-6,189
423,50,4,169
445,61,12,170
466,79,18,160
489,79,17,157
511,68,15,161
534,43,11,170
555,11,5,177
578,0,1,173
598,4,-1,164
620,9,-4,160
642,8,-6,161
664,5,-5,164
684,0,-8,159
707,1,-10,155
729,2,-10,152
751,3,-9,159
773,0,-5,176
795,-10,0,180
817,-15,0,164
839,-21,-9,122
861,-18,-24,100
882,-9,-42,87
905,0,-59,72
926,4,-69,66
948,7,-73,65
970,-2,-81,57
991,-25,-90,48
1014,-38,-101,41
1036,-45,-106,38
1058,-46,-105,39
1080,-27,-103,43
1102,-32,-97,44
1124,-47,-100,43
1146,-54,-107,49
1169,-58,-108,55
1189,-49,-103,58
1212,-48,-102,64
1234,-57,-104,65
1255,-63,-105,69
1277,-62,-106,72
1299,-57,-106,78
1321,-56,-103,83
1342,-51,-103,84
1365,-38,-102,88
1387,-34,-103,90
1409,-39,-104,90
1431,-42,-106,90
1453,-46,-106,88
1475,-45,-106,85
1496,-40,-105,84
1518,-38,-106,84
1540,-36,-106,88
1561,-40,-103,89
1584,-42,-102,86
1606,-43,-101,89
1628,-43,-104,89
1650,-41,-104,88
1671,-40,-106,87
1694,-41,-105,84
1716,-39,-106,82
1738,-39,-106,81
1760,-37,-108,83
1781,-39,-108,82
1804,-40,-108,81
1825,-40,-107,80
1847,-39,-107,79
1868,-39,-106,81
1891,-41,-107,81
1913,-41,-108,79
1935,-41,-107,82
1957,-40,-106,83
1979,-40,-105,83
2001,-41,-105,82
