timestamp,acc_x,acc_y,acc_z
0,90,-71,99
0,88,-70,98
2,85,-71,97
2,82,-72,96
2,83,-72,96
3,84,-72,95
3,85,-71,95
3,85,-72,91
3,87,-73,91
3,89,-72,90
3,89,-73,92
3,86,-74,91
5,85,-75,90
5,85,-75,90
5,87,-75,89
5,86,-72,92
6,84,-73,94
6,84,-72,94
6,85,-72,93
6,86,-71,95
7,88,-72,95
7,87,-73,93
7,86,-73,92
7,87,-74,91
7,87,-73,92
8,87,-73,91
8,89,-72,93
8,85,-72,89
8,86,-72,90
9,86,-73,91
9,86,-73,91
9,85,-72,89
9,84,-72,92
10,85,-74,93
10,85,-72,92
10,86,-71,94
10,84,-70,94
11,86,-72,94
11,86,-72,95
11,86,-71,95
11,83,-71,97
12,85,-72,96
12,87,-73,95
12,89,-72,96
12,89,-72,94
13,89,-72,95
13,88,-72,92
13,88,-72,93
13,90,-73,91
14,87,-73,90
14,87,-72,90
14,87,-72,89
14,86,-72,90
15,85,-72,89
15,85,-73,90
15,87,-72,90
15,89,-71,92
15,87,-72,92
15,90,-71,94
16,89,-71,93
16,87,-72,94
16,87,-71,92
17,88,-69,94
17,88,-71,94
17,87,-71,93
19,88,-71,93
19,87,-70,95
19,85,-71,95
20,86,-71,96
20,87,-71,96
20,87,-71,95
22,88,-70,95
23,88,-70,96
23,87,-71,95
23,87,-72,94
24,89,-71,94
24,87,-71,92
24,87,-71,92
24,89,-70,93
25,88,-70,91
25,87,-70,92
25,87,-70,92
25,87,-70,93
25,86,-70,94
26,86,-71,94
26,86,-70,96
26,87,-70,97
27,86,-69,96
27,87,-70,97
27,86,-70,96
27,86,-71,97
27,86,-69,96
28,85,-69,95
37,86,-70,95
60,85,-70,94
82,86,-70,94
104,87,-69,92
125,87,-69,94
148,86,-70,94
168,87,-71,94
191,89,-72,94
213,88,-72,94
234,89,-70,96
256,88,-70,96
279,86,-70,96
300,82,-72,97
322,84,-72,96
344,84,-72,95
367,89,-74,95
388,90,-79,91
410,98,-88,89
432,117,-94,85
454,125,-94,78
476,129,-95,67
497,129,-95,61
519,129,-89,54
542,134,-84,52
564,128,-75,46
585,127,-70,42
608,121,-65,47
629,110,-60,54
651,107,-59,64
673,107,-52,74
695,96,-43,77
717,86,-40,82
738,73,-35,89
761,68,-34,92
783,65,-31,97
804,55,-28,120
826,41,-26,133
847,24,-26,128
869,27,-29,130
892,32,-26,147
914,25,-24,156
935,14,-25,163
958,8,-27,169
988,5,-32,164
1001,4,-40,157
1023,10,-44,149
1045,21,-43,149
1067,20,-40,155
1088,22,-38,153
1110,7,-39,152
1133,4,-40,150
1155,16,-38,154
1177,33,-34,162
1199,43,-36,157
1221,45,-39,143
1243,39,-43,131
1265,40,-42,131
1285,43,-39,134
1306,45,-38,137
1329,42,-41,139
1352,39,-45,141
1373,39,-43,143
1395,43,-39,142
1418,44,-39,139
1439,43,-40,139
1462,40,-41,137
1484,39,-41,135
1504,40,-36,139
1527,40,-36,140
1549,39,-38,140
1571,40,-39,138
1593,41,-39,136
1615,42,-38,136
1638,42,-37,139
1659,42,-38,139
1681,41,-40,139
1703,44,-40,137
1725,42,-38,140
1745,41,-38,140
1768,37,-38,141
1790,39,-40,138
1812,39,-39,137
1834,39,-38,137
1856,40,-38,138
1877,42,-38,138
1900,41,-36,139
1922,42,-36,138
1944,42,-37,138
1965,41,-38,139
1986,40,-38,139
