timestamp,acc_x,acc_y,acc_z
0,9,-35,143
0,13,-35,141
0,16,-33,141
1,15,-33,143
1,13,-32,146
1,13,-32,145
1,12,-31,142
1,12,-31,140
2,12,-34,133
2,12,-34,134
2,14,-32,136
2,9,-31,135
3,10,-31,136
3,17,-28,139
3,38,-13,166
3,27,-13,178
4,23,-19,166
4,22,-24,151
4,17,-26,143
5,8,-23,142
5,5,-23,142
5,10,-21,146
5,15,-20,153
6,20,-22,158
6,23,-24,153
6,25,-26,150
6,24,-26,146
6,18,-26,147
6,14,-25,150
7,11,-24,154
7,11,-25,149
7,13,-27,143
8,19,-23,142
8,22,-17,150
8,18,-16,156
8,10,-19,155
9,7,-27,149
9,11,-27,145
9,16,-23,145
9,17,-21,144
10,17,-19,146
10,15,-21,149
10,15,-22,149
10,11,-21,145
11,11,-20,140
11,12,-20,143
11,12,-18,145
12,13,-18,147
12,17,-20,149
12,14,-20,151
12,11,-21,148
13,13,-21,147
13,16,-20,149
13,13,-20,152
14,10,-24,150
14,9,-26,146
14,11,-23,148
14,13,-24,145
14,16,-21,146
15,18,-19,149
15,16,-19,151
15,11,-20,148
15,9,-19,141
15,9,-19,141
15,12,-17,145
17,14,-18,149
17,13,-19,150
17,12,-21,148
17,12,-22,146
17,12,-20,146
18,13,-19,148
19,13,-20,148
19,14,-20,149
20,11,-21,147
20,11,-21,146
21,11,-20,147
21,12,-20,149
21,13,-22,147
23,13,-21,147
23,12,-21,148
24,13,-21,148
24,13,-20,147
24,13,-20,146
26,14,-21,146
26,15,-21,149
26,12,-19,149
26,11,-21,148
26,12,-20,147
26,13,-22,147
27,13,-21,147
27,14,-20,148
27,13,-21,147
34,14,-21,147
56,13,-21,147
78,12,-21,146
100,15,-20,146
121,14,-21,149
144,11,-22,147
166,11,-22,146
187,13,-21,148
210,14,-20,149
232,12,-19,149
253,8,-18,151
275,-1,-17,157
297,-4,-16,158
320,-9,-10,161
341,-23,-4,166
363,-29,-1,165
384,-24,3,160
406,-25,6,163
429,-31,4,162
451,-27,3,161
472,-24,4,164
494,-26,5,164
516,-31,4,160
539,-22,0,159
561,-16,1,158
582,-6,1,154
604,1,0,155
624,5,-1,149
646,9,-5,149
668,15,-7,147
690,28,-9,141
712,42,-15,133
734,56,-22,131
757,63,-29,128
778,81,-36,123
801,99,-45,111
822,111,-58,105
845,109,-64,102
866,105,-69,101
888,97,-74,99
910,89,-78,101
931,76,-76,107
954,62,-74,113
975,53,-73,119
998,43,-72,125
1019,36,-73,128
1042,33,-72,127
1064,35,-72,125
1086,40,-69,122
1107,38,-67,124
1129,35,-64,129
1151,36,-64,131
1174,41,-63,127
1196,44,-63,126
1217,38,-63,129
1238,38,-64,129
1260,34,-63,133
1283,37,-64,129
1305,36,-62,132
1327,37,-62,132
1348,37,-61,130
1371,38,-62,132
1392,39,-62,130
1415,42,-63,128
1436,41,-64,128
1459,41,-64,127
1481,38,-65,127
1503,37,-65,128
1524,40,-65,127
1546,40,-64,125
1567,42,-64,124
1590,45,-62,127
1612,46,-61,129
1633,42,-59,130
1656,38,-61,130
1678,37,-62,131
1699,40,-62,132
1721,41,-63,131
1743,37,-62,130
1765,37,-63,130
1786,39,-63,132
1809,39,-63,131
1831,40,-63,129
1853,39,-63,129
1875,41,-62,128
1897,38,-62,129
1919,43,-62,126
1941,42,-60,128
1963,41,-60,128
1984,41,-61,128
