timestamp,acc_x,acc_y,acc_z
0,-17,-102,105
1,-16,-103,106
1,-15,-105,104
2,-16,-104,104
3,-16,-103,104
3,-16,-103,107
4,-15,-105,107
4,-15,-105,108
4,-10,-104,109
6,-11,-101,110
6,-7,-103,108
6,-7,-104,108
7,-7,-106,108
7,-10,-108,109
7,-8,-110,111
8,-8,-110,114
8,-10,-109,115
8,-10,-108,114
8,-10,-108,112
9,-14,-104,111
9,-21,-100,108
9,-34,-95,101
10,-40,-94,96
10,-45,-89,97
10,-48,-79,104
10,-43,-72,110
11,-38,-65,112
11,-43,-64,108
11,-46,-62,106
11,-42,-61,107
12,-41,-62,108
12,-42,-62,111
12,-41,-63,110
12,-51,-64,110
13,-54,-65,108
13,-54,-68,108
13,-53,-69,108
13,-54,-72,107
14,-55,-76,107
14,-56,-75,113
14,-49,-74,116
14,-46,-72,121
14,-44,-71,121
14,-38,-71,120
15,-33,-71,121
16,-29,-73,119
16,-29,-79,119
17,-23,-81,118
17,-24,-84,118
17,-28,-86,118
18,-29,-86,117
18,-26,-85,122
18,-26,-84,124
19,-26,-81,124
19,-26,-80,123
19,-26,-80,121
20,-29,-79,122
21,-33,-80,120
21,-34,-78,119
21,-35,-76,119
22,-32,-75,120
22,-32,-75,120
22,-31,-76,118
22,-31,-77,115
23,-30,-78,113
23,-30,-80,113
23,-29,-79,114
23,-30,-78,114
24,-29,-78,115
24,-32,-77,115
24,-31,-78,115
24,-32,-80,114
24,-33,-80,116
24,-34,-79,115
25,-34,-79,117
25,-33,-79,119
26,-35,-78,119
26,-37,-79,118
26,-36,-79,118
26,-36,-81,116
27,-36,-82,115
27,-35,-81,114
27,-35,-80,113
27,-33,-80,112
28,-32,-81,112
28,-33,-81,113
28,-32,-81,112
28,-33,-82,111
29,-32,-82,113
29,-31,-82,112
29,-32,-80,113
29,-32,-80,111
30,-32,-79,110
41,-35,-78,112
61,-36,-80,111
83,-35,-78,110
106,-33,-77,112
128,-34,-77,114
150,-35,-79,116
172,-38,-78,115
193,-38,-75,114
216,-39,-71,111
237,-41,-66,102
260,-44,-65,87
281,-41,-60,71
303,-35,-50,57
324,-40,-41,42
347,-40,-30,36
369,-45,-21,33
390,-46,-13,32
412,-46,0,34
434,-28,14,53
455,-6,34,93
479,-9,43,105
501,1,53,107
522,5,63,115
543,1,67,120
565,-1,70,129
588,-6,79,143
609,-1,85,160
631,-7,83,179
653,-15,85,199
675,-17,94,211
698,-17,101,227
720,-2,103,256
742,1,105,255
763,-1,106,261
786,-2,104,271
808,-21,101,283
830,-39,93,276
851,-64,83,272
873,-72,81,262
895,-76,82,251
916,-67,84,236
938,-49,94,231
960,-30,99,219
982,-15,95,198
1004,-6,88,189
1027,4,83,182
1048,16,74,164
1071,24,63,151
1092,32,48,132
1113,37,24,121
1136,44,17,125
1158,42,9,110
1180,37,-6,97
1201,38,-23,92
1224,34,-33,86
1246,32,-48,78
1268,27,-60,74
1290,21,-69,65
1311,18,-72,61
1332,13,-72,59
1355,10,-77,57
1376,5,-80,59
1399,3,-81,55
1421,1,-89,51
1443,0,-89,54
1464,4,-92,60
1486,2,-93,58
1509,0,-102,57
1530,0,-106,62
1553,0,-105,62
1575,1,-109,62
1596,3,-113,62
1618,6,-113,64
1640,4,-115,67
1661,-2,-112,69
1684,-4,-114,71
1705,-3,-116,73
1728,-1,-117,74
1750,3,-115,74
1772,2,-117,77
1793,-5,-117,79
1815,-3,-120,79
1838,-1,-119,76
1859,0,-117,76
1880,2,-118,76
1903,4,-119,79
1924,2,-118,80
1947,1,-116,80
1969,0,-115,84
1990,2,-117,86
