timestamp,acc_x,acc_y,acc_z
0,8,-54,107
1,20,-45,116
2,24,-45,114
4,11,-53,105
4,-1,-63,98
5,7,-66,107
6,18,-59,122
7,17,-58,123
8,12,-62,116
10,10,-59,103
11,24,-62,113
12,32,-62,115
15,30,-63,116
16,23,-65,114
20,20,-67,113
21,17,-67,115
22,22,-70,123
22,19,-69,124
22,16,-75,122
33,14,-78,123
33,13,-83,124
34,11,-85,126
34,13,-84,123
35,16,-85,123
36,20,-83,123
36,24,-82,123
37,26,-83,120
38,28,-85,119
39,33,-86,119
40,32,-88,117
41,32,-89,115
46,32,-90,117
48,32,-89,118
48,32,-89,120
49,32,-89,118
51,32,-89,119
52,32,-89,118
52,31,-89,119
53,32,-88,117
53,31,-87,117
55,31,-86,118
55,31,-86,119
56,29,-86,117
57,29,-85,116
58,29,-86,117
60,29,-88,116
61,27,-87,116
62,29,-84,116
62,30,-84,116
63,31,-82,117
64,31,-82,118
64,31,-82,117
65,28,-83,117
65,26,-82,115
65,25,-83,116
66,25,-86,116
67,25,-87,115
67,27,-85,117
68,28,-85,116
68,30,-85,116
69,30,-84,115
69,31,-82,116
69,31,-81,116
70,28,-83,118
71,26,-82,118
71,25,-82,119
72,25,-82,121
73,26,-83,122
77,26,-83,120
78,25,-83,120
79,24,-82,120
79,25,-81,119
79,25,-80,118
80,26,-80,116
81,26,-78,116
81,27,-79,119
82,29,-82,119
83,30,-82,118
83,32,-83,118
85,32,-84,121
85,32,-84,123
86,32,-84,120
86,33,-82,119
87,34,-82,120
87,32,-79,119
87,33,-79,117
88,31,-78,116
88,30,-80,115
89,30,-79,115
92,31,-78,118
93,31,-76,119
95,28,-77,118
96,28,-77,118
96,25,-75,120
97,25,-75,123
98,25,-74,127
120,22,-72,127
143,18,-71,129
164,16,-72,130
186,7,-71,136
208,-2,-67,142
230,-15,-62,149
254,-27,-51,157
274,-34,-34,162
295,-41,-21,171
318,-49,-19,169
339,-46,-26,166
361,-37,-31,164
383,-22,-33,159
405,-4,-39,148
427,12,-50,131
449,31,-53,118
471,50,-39,116
493,72,-27,109
515,87,-19,103
538,91,-11,102
558,104,-1,100
581,144,22,91
602,153,20,74
623,147,11,56
646,157,6,50
668,175,6,44
690,173,1,34
712,157,-1,29
734,150,3,34
756,147,8,41
778,142,19,50
800,133,31,58
822,126,47,68
843,124,68,93
866,127,83,104
888,116,98,128
909,89,107,163
931,61,105,185
953,50,97,212
976,22,86,237
997,2,77,236
1019,-10,74,225
1041,-24,68,223
1063,-29,68,223
1085,-45,64,217
1107,-66,51,191
1129,-64,48,177
1150,-56,53,167
1172,-48,56,158
1194,-35,64,154
1216,-22,76,150
1238,-3,89,142
1260,7,104,136
1282,13,111,131
1304,23,115,126
1326,44,126,124
1357,64,134,126
1369,79,134,113
1392,85,130,111
1414,95,125,98
1436,111,117,97
1458,126,105,93
1479,129,90,85
1502,127,69,85
1523,123,58,83
1545,121,47,86
1567,121,41,89
1589,118,36,92
1611,112,32,97
1633,102,30,106
1655,96,28,112
1677,91,29,119
1699,79,28,124
1721,82,28,123
1743,79,31,126
1764,77,32,125
1786,73,31,126
1808,73,33,130
1830,69,36,133
1852,71,39,132
1874,70,42,130
1896,64,42,134
1918,62,43,135
1940,63,43,135
1962,63,43,133
1984,64,44,133
