timestamp,acc_x,acc_y,acc_z
0,65,-47,124
1,62,-51,119
2,67,-49,123
3,67,-49,123
3,67,-48,124
5,67,-46,127
5,66,-46,125
6,68,-43,127
7,69,-42,131
7,65,-42,131
8,63,-41,132
8,64,-41,130
9,61,-42,129
10,62,-42,128
11,60,-43,127
11,62,-42,125
12,62,-43,125
13,67,-39,126
13,67,-40,127
14,67,-38,128
14,72,-35,130
15,71,-34,131
16,69,-33,130
16,68,-35,128
17,65,-38,127
18,64,-38,128
20,65,-37,127
21,65,-36,128
22,66,-37,128
23,67,-35,129
24,67,-34,129
25,67,-33,131
26,67,-33,133
26,67,-33,132
27,66,-32,132
28,66,-32,132
34,64,-33,131
36,63,-32,130
37,63,-33,131
38,64,-32,130
39,63,-32,132
39,63,-31,131
40,64,-31,131
40,63,-32,130
41,62,-33,129
42,64,-33,130
42,64,-34,130
43,64,-33,128
44,67,-32,130
44,68,-31,131
45,66,-31,131
46,65,-32,131
46,65,-32,129
47,65,-33,130
47,64,-33,130
49,64,-33,129
49,64,-33,130
50,63,-32,130
52,64,-32,132
53,64,-32,132
54,63,-32,132
55,63,-32,133
56,63,-32,132
56,63,-33,132
56,63,-32,131
57,64,-32,133
58,64,-32,131
59,64,-32,129
60,64,-32,129
60,64,-32,128
61,64,-32,128
61,66,-32,129
62,65,-31,129
62,64,-31,129
63,64,-31,131
64,63,-32,130
64,62,-33,128
65,61,-34,128
68,61,-35,128
70,59,-36,126
70,62,-35,127
71,64,-34,128
71,67,-33,131
72,69,-32,131
72,71,-31,132
73,71,-32,129
74,71,-33,128
74,69,-34,127
75,68,-35,126
75,67,-35,125
76,67,-35,126
77,69,-34,128
77,69,-33,128
78,70,-33,128
79,71,-33,129
79,71,-33,129
80,72,-33,130
81,70,-32,130
81,70,-31,130
83,70,-31,130
84,68,-30,129
84,66,-31,130
85,66,-32,130
86,65,-32,129
87,65,-33,128
88,66,-33,129
88,68,-32,129
88,70,-32,128
90,70,-31,130
90,71,-32,132
91,72,-32,130
91,70,-32,130
92,71,-31,132
92,71,-30,131
93,73,-29,132
93,71,-31,132
94,69,-32,130
94,69,-34,129
95,70,-35,129
95,68,-35,129
96,67,-36,126
96,66,-37,123
96,68,-37,124
117,70,-37,123
138,72,-36,122
160,73,-34,121
182,73,-33,122
204,74,-35,118
226,74,-36,112
248,77,-36,104
270,82,-33,105
292,80,-28,105
314,78,-28,100
336,76,-25,79
359,67,-20,67
379,47,-17,59
402,29,-6,57
423,17,9,58
444,8,27,60
465,3,47,73
486,-3,63,84
508,-13,81,103
530,-23,91,110
552,-26,105,117
574,-27,126,115
596,-30,146,116
618,-28,169,127
640,-7,205,133
661,15,226,138
683,52,251,144
705,45,246,144
727,19,221,131
749,23,206,128
771,52,197,148
793,64,191,157
815,68,181,148
837,73,166,134
859,76,155,136
881,96,154,139
903,108,148,125
925,121,143,120
946,126,142,113
968,126,135,118
990,121,131,118
1013,120,125,108
1034,114,106,101
1056,114,93,96
1078,109,82,91
1100,96,69,83
1122,78,49,76
1143,64,33,64
1165,53,17,55
1187,49,9,51
1208,37,2,44
1229,27,-4,34
1251,15,-7,37
1273,1,-9,51
1294,-7,-8,64
1316,-14,-7,83
1338,-26,-13,99
1360,-24,-16,115
1382,-12,-13,140
1404,2,-10,169
1426,10,-11,182
1447,14,-18,178
1469,31,-28,174
1492,41,-31,180
1513,47,-32,180
1535,55,-32,174
1557,60,-32,163
1579,63,-30,156
1601,65,-29,151
1623,64,-31,144
1645,66,-32,140
1667,66,-32,133
1689,63,-33,127
1710,63,-33,129
1733,63,-34,125
1755,65,-34,123
1777,66,-33,123
1798,66,-31,127
1820,65,-31,125
1843,65,-32,124
1865,66,-34,125
1886,65,-33,126
1908,64,-36,126
1930,66,-36,127
1952,72,-34,130
1974,75,-32,134
1995,73,-31,135
