timestamp,acc_x,acc_y,acc_z
0,-13,-62,127
1,2,-63,124
1,7,-58,128
2,17,-54,129
2,24,-51,128
3,28,-52,126
3,30,-52,126
4,31,-52,127
5,30,-53,129
6,30,-55,129
7,29,-58,129
7,29,-59,129
8,26,-60,133
9,24,-61,135
9,23,-62,136
10,23,-61,138
11,25,-59,139
11,24,-60,139
12,21,-59,141
13,18,-60,140
13,18,-59,139
14,18,-59,139
14,16,-59,139
17,15,-58,137
18,13,-58,137
18,14,-58,136
20,12,-59,136
20,12,-58,136
21,11,-58,137
22,9,-57,137
23,7,-57,138
24,6,-57,139
24,9,-58,139
29,9,-58,140
33,7,-58,141
33,7,-56,141
34,7,-56,141
34,7,-58,140
35,9,-58,138
36,9,-58,136
36,7,-58,137
37,8,-61,135
37,9,-61,135
38,8,-60,135
39,8,-59,136
39,7,-59,137
40,6,-58,137
40,7,-59,137
41,3,-60,135
42,2,-61,133
43,0,-61,132
46,1,-61,132
47,1,-62,131
49,1,-61,131
50,2,-60,130
50,3,-61,130
51,3,-61,130
52,2,-62,132
52,3,-60,132
53,3,-60,131
53,1,-59,132
54,2,-59,133
55,0,-60,133
55,-1,-60,133
55,0,-59,132
56,0,-60,132
56,-1,-60,133
57,-2,-61,133
57,-2,-62,134
58,-1,-60,134
59,-2,-60,133
59,-1,-60,134
60,0,-60,133
60,0,-61,133
61,0,-61,134
61,0,-61,133
62,0,-61,134
62,-2,-59,136
63,-1,-59,137
64,-1,-59,137
64,-3,-58,138
64,-1,-58,137
65,-2,-57,135
65,-3,-57,136
67,-3,-57,136
67,-1,-57,134
68,-1,-55,134
68,-1,-56,134
69,-1,-55,135
69,0,-55,134
69,-1,-54,135
70,-3,-56,135
70,-5,-56,136
70,-3,-56,138
70,-2,-56,137
90,-4,-56,138
111,-4,-56,138
133,-4,-54,141
155,-2,-56,140
177,-3,-57,139
199,-5,-57,138
221,-7,-57,139
243,-10,-58,142
264,-16,-57,145
286,-26,-56,146
308,-36,-56,142
331,-42,-58,135
353,-47,-60,124
375,-46,-59,114
396,-38,-51,102
418,-33,-45,98
440,-31,-39,98
461,-30,-34,98
484,-29,-31,97
506,-27,-29,96
527,-23,-23,91
550,-18,-14,91
572,-10,-5,90
593,3,2,89
614,18,17,89
636,31,30,89
658,61,51,94
680,77,63,99
702,95,72,100
724,111,81,109
745,129,89,115
768,135,97,125
789,124,103,144
812,117,103,153
834,114,105,165
856,111,114,182
877,97,121,194
899,80,124,196
921,61,136,225
942,51,145,239
965,39,144,238
986,32,144,245
1008,19,152,246
1030,8,147,239
1053,-2,140,237
1075,-16,120,215
1097,-23,99,196
1119,-28,78,179
1140,-24,60,168
1163,-23,49,163
1183,-24,42,157
1206,-28,29,141
1228,-26,16,131
1250,-24,12,127
1272,-32,6,122
1294,-41,-2,112
1315,-42,-10,103
1338,-33,-13,102
1360,-30,-14,100
1382,-29,-19,93
1404,-25,-25,93
1425,-23,-32,95
1446,-15,-33,90
1469,-9,-39,88
1491,-1,-48,89
1513,15,-51,92
1535,32,-55,93
1557,50,-55,96
1579,68,-58,100
1601,104,-59,98
1623,113,-66,101
1644,115,-73,101
1667,109,-79,99
1689,89,-85,101
1710,69,-85,110
1731,55,-85,119
1754,48,-83,119
1775,42,-84,121
1797,35,-83,122
1819,30,-81,127
1842,24,-82,123
1864,31,-79,122
1886,30,-80,123
1908,31,-80,123
1929,29,-79,124
1952,28,-79,125
1973,28,-79,127
1995,29,-76,132
