timestamp,acc_x,acc_y,acc_z
0,8,-128,61
0,7,-127,62
0,6,-122,64
1,2,-120,65
1,1,-119,68
2,1,-119,72
2,1,-120,71
2,-1,-123,74
3,-1,-124,73
3,-1,-126,71
3,-5,-128,69
4,2,-126,70
4,2,-128,69
4,0,-130,68
5,-4,-132,65
5,-7,-133,63
5,-1,-132,60
5,2,-132,62
5,0,-133,58
7,-1,-133,55
7,-3,-132,55
7,-4,-129,51
8,-1,-128,54
8,3,-127,57
8,1,-127,51
8,2,-126,49
9,0,-125,48
9,2,-125,52
9,6,-124,51
9,11,-123,51
10,12,-116,55
10,10,-116,57
10,9,-116,56
10,9,-115,56
11,13,-115,55
11,16,-116,58
11,15,-115,58
11,12,-114,60
12,7,-111,62
12,10,-116,62
12,15,-117,64
12,16,-123,67
12,18,-129,72
13,23,-135,73
13,25,-139,76
13,20,-143,75
13,19,-144,69
13,25,-140,67
14,26,-129,66
14,22,-122,65
14,21,-115,65
14,23,-113,63
14,23,-115,61
14,24,-119,60
14,26,-123,62
15,27,-125,62
15,29,-126,62
15,29,-125,64
15,29,-124,63
15,28,-126,63
16,25,-127,63
16,26,-126,64
16,28,-126,62
16,24,-126,61
17,23,-126,61
17,20,-126,60
17,18,-125,60
17,18,-126,61
18,18,-125,61
19,14,-126,61
19,13,-125,61
19,12,-125,60
19,14,-124,60
20,14,-123,62
20,13,-124,62
20,13,-126,59
21,13,-126,58
21,13,-126,60
21,11,-127,60
22,11,-128,61
23,13,-127,62
24,9,-127,59
24,6,-128,57
24,5,-127,57
24,11,-122,58
25,6,-123,57
25,3,-122,56
25,8,-123,56
25,12,-120,59
25,11,-117,54
26,16,-111,55
26,20,-108,59
26,27,-101,53
47,32,-97,47
69,50,-83,44
91,125,-59,19
113,168,-58,42
134,144,-62,19
157,143,-95,-2
179,145,-106,3
201,123,-111,18
223,116,-114,22
244,94,-107,30
267,80,-104,34
289,70,-99,35
311,56,-95,36
332,39,-90,32
353,31,-79,28
376,30,-65,29
397,31,-56,30
420,29,-43,26
442,25,-25,27
463,32,-4,29
485,44,13,28
519,39,41,32
529,49,65,36
550,65,87,40
573,73,106,35
595,72,126,24
616,67,146,35
639,120,198,63
661,126,233,43
683,114,240,16
705,122,240,21
727,154,244,44
749,158,220,25
770,150,186,14
793,160,176,19
815,147,171,35
837,127,159,48
858,121,145,50
879,129,143,57
902,123,139,56
924,96,134,50
945,86,134,49
967,93,137,46
990,95,136,43
1012,81,141,41
1034,63,136,35
1056,52,135,34
1078,52,135,33
1099,49,134,32
1121,45,132,32
1143,38,134,31
1165,35,128,31
1186,35,127,30
1209,33,124,32
1231,32,123,33
1253,31,121,34
1275,28,121,33
1297,29,119,34
1319,33,120,35
1341,34,120,37
1361,35,121,36
1384,34,122,35
1405,34,123,37
1428,39,124,39
1450,41,124,42
1472,43,125,42
1493,46,126,42
1515,48,127,43
1538,48,127,46
1560,37,127,46
1582,35,129,46
1604,40,130,48
1625,43,128,47
1647,46,126,46
1669,50,129,47
1690,52,129,45
1712,49,128,45
1734,49,128,42
1757,49,127,40
1779,50,128,40
1800,47,129,39
1822,43,130,39
1844,40,128,39
1865,41,127,40
1887,41,125,40
1909,41,126,40
1931,42,126,42
1953,45,127,44
1976,50,129,47
1997,58,132,51
