timestamp,acc_x,acc_y,acc_z
0,84,77,97
0,85,77,96
2,81,73,94
2,81,69,92
3,82,67,92
3,83,67,92
4,86,66,91
4,84,65,93
5,84,66,92
5,88,67,90
6,91,67,89
7,95,69,91
7,93,69,88
7,95,71,92
7,96,68,97
8,97,70,97
8,95,71,97
9,92,71,96
9,82,70,94
9,77,69,91
9,82,70,93
10,90,78,91
10,82,79,89
10,78,79,90
12,76,80,91
13,78,85,92
13,81,88,94
13,85,95,94
13,83,97,96
14,80,99,95
14,80,101,96
14,80,102,96
14,79,99,93
15,74,91,90
15,70,86,89
15,69,83,92
15,67,81,90
16,65,78,89
16,67,78,86
16,72,78,86
16,70,79,87
17,67,78,92
17,71,79,93
17,75,80,92
17,77,81,95
17,80,79,99
18,79,78,100
18,78,73,102
18,80,70,102
18,86,69,105
19,89,68,109
19,86,66,107
19,87,65,104
19,88,64,104
20,86,64,105
20,85,63,104
20,84,63,102
20,83,64,100
21,82,64,100
21,82,65,100
22,86,68,100
22,86,69,101
22,84,66,99
22,82,63,99
22,82,62,98
23,84,62,99
23,85,63,100
23,82,61,101
23,80,60,99
24,81,59,99
24,83,60,100
24,84,62,102
24,84,63,103
25,84,64,102
25,83,64,101
25,84,63,101
25,84,62,101
26,86,62,100
26,84,60,98
26,83,60,99
26,85,61,99
26,87,63,98
27,87,64,99
27,85,66,101
27,85,69,99
27,88,73,101
28,88,79,106
28,81,79,106
28,78,76,104
28,74,73,101
29,73,71,100
29,75,71,99
29,74,69,99
35,73,68,96
56,77,74,99
79,82,79,105
101,84,85,106
123,77,84,100
145,72,82,101
167,69,80,104
189,70,78,103
211,70,79,101
233,68,76,101
254,72,68,103
277,77,57,122
298,72,46,155
319,72,57,192
342,92,63,186
364,120,76,193
385,128,92,219
408,114,101,216
429,94,92,199
452,107,91,193
473,115,96,189
496,116,97,175
517,99,88,159
539,81,77,151
560,77,70,153
583,78,58,138
606,74,49,127
626,71,43,123
648,61,39,109
671,55,26,97
692,44,10,87
714,31,-13,62
736,22,-31,44
758,13,-48,33
780,3,-61,28
801,7,-66,33
823,9,-69,38
846,8,-82,30
868,1,-93,29
890,0,-97,30
911,5,-99,30
934,1,-108,28
956,-1,-113,29
978,-5,-122,29
999,-6,-126,30
1021,-3,-127,35
1043,-1,-128,33
1065,-3,-136,31
1086,-10,-139,33
1109,-6,-137,37
1130,-1,-140,32
1152,-6,-140,30
1175,-8,-140,32
1197,-10,-138,31
1218,-11,-138,31
1239,-12,-137,28
1261,-11,-136,30
1284,-11,-132,31
1306,-10,-131,32
1327,-9,-131,33
1349,-8,-131,33
1371,-5,-127,36
1394,-4,-128,38
1416,-4,-128,39
1438,-5,-129,40
1459,-2,-127,42
1481,0,-127,41
1502,0,-127,43
1525,0,-128,42
1546,0,-128,42
1568,1,-128,42
1591,2,-128,45
1612,3,-126,47
1635,3,-127,48
1656,2,-127,49
1678,3,-127,48
1700,4,-129,49
1721,2,-129,52
1744,2,-130,50
1766,2,-131,48
1788,3,-131,48
1810,5,-130,48
1831,4,-131,48
1853,2,-130,48
1875,1,-131,46
1897,1,-130,46
1918,1,-131,44
1941,1,-130,44
1962,2,-130,43
1984,3,-128,44
