timestamp,acc_x,acc_y,acc_z
0,113,18,86
0,114,19,84
0,113,16,82
2,114,12,79
2,114,8,78
2,114,6,78
2,117,6,77
4,121,7,78
4,124,8,79
4,126,8,79
4,126,8,80
5,128,9,79
5,129,11,80
6,128,12,79
6,124,12,80
6,124,12,80
7,123,15,81
7,122,15,82
7,121,15,82
8,118,15,81
8,115,14,79
8,117,14,78
8,117,13,78
9,119,12,77
9,120,12,76
9,124,13,77
10,125,14,78
10,126,15,79
10,125,15,81
10,123,16,82
11,121,15,84
11,119,14,87
11,120,13,89
11,119,14,91
12,116,14,91
12,113,14,91
12,110,13,92
12,105,9,90
13,110,12,91
13,107,13,91
14,110,16,87
14,112,18,88
14,119,22,89
14,120,23,89
15,119,23,87
15,116,22,84
15,114,21,84
15,116,20,85
16,116,20,84
16,114,17,81
16,111,15,82
16,113,14,82
18,116,15,86
18,117,15,90
19,118,15,87
19,117,12,88
19,118,12,89
20,117,11,89
20,118,11,93
20,121,13,96
20,124,13,97
21,121,12,97
22,115,10,94
22,112,11,94
22,110,12,94
22,104,11,90
22,104,10,89
22,108,7,86
23,113,7,86
23,117,7,85
23,120,8,85
23,122,8,84
24,121,8,84
24,120,9,84
24,121,9,86
24,121,8,88
25,121,7,88
25,120,6,89
25,119,7,91
25,117,4,92
25,115,4,92
26,114,3,92
26,114,5,91
26,114,5,90
26,113,5,89
26,116,5,87
27,118,5,87
27,119,5,87
27,117,5,85
27,117,5,83
28,117,4,83
28,118,3,83
29,117,2,83
46,116,4,84
68,115,4,84
90,116,4,83
112,117,4,83
134,115,1,82
156,115,0,81
179,117,-5,81
200,121,-13,79
221,126,-15,76
244,123,-16,73
265,115,-21,62
288,113,-24,54
310,113,-23,42
331,126,-13,31
353,148,3,29
375,160,20,25
398,155,27,13
419,178,37,-1
440,191,40,-9
462,184,40,-13
484,168,40,-14
506,165,47,-13
528,162,57,-11
550,158,75,-10
572,158,92,-7
594,156,103,2
615,151,118,8
639,145,131,15
660,134,142,19
682,117,151,27
704,116,159,45
725,107,162,66
747,94,159,92
769,79,150,96
791,64,135,90
813,52,124,109
835,48,114,123
857,41,112,146
879,35,104,158
901,29,91,152
923,23,78,143
944,30,66,144
966,36,64,152
988,36,60,156
1010,37,48,148
1032,47,43,147
1054,56,42,147
1076,51,41,155
1098,47,35,153
1120,55,31,145
1143,67,26,135
1164,87,23,129
1185,94,20,129
1208,96,16,121
1230,102,16,113
1251,106,16,106
1274,109,14,105
1295,106,12,105
1317,101,10,105
1340,98,13,103
1361,98,16,103
1384,96,18,106
1405,94,19,109
1426,94,19,110
1449,92,21,108
1470,93,24,111
1492,91,24,112
1514,91,23,116
1536,92,23,116
1559,91,23,115
1581,91,21,114
1602,93,22,115
1624,96,22,118
1646,99,22,117
1667,97,22,116
1689,93,20,114
1711,92,20,113
1733,92,22,112
1755,91,25,111
1778,91,26,111
1800,91,27,109
1821,91,30,110
1843,91,32,111
1866,89,32,108
1887,88,33,106
1909,87,35,106
1930,95,33,105
1952,95,28,108
1975,95,24,111
1996,99,22,112
