timestamp,acc_x,acc_y,acc_z
0,66,24,129
1,67,24,129
2,70,26,130
2,74,27,129
3,71,25,125
3,71,21,122
4,77,16,119
4,81,14,119
5,84,9,115
5,79,6,112
6,78,7,117
6,81,6,122
6,86,7,121
7,85,6,120
7,78,5,122
7,71,4,131
7,69,4,140
7,78,11,153
8,74,14,157
8,67,8,154
8,63,6,159
9,76,12,171
9,91,17,166
9,83,9,159
10,71,-4,149
10,68,-13,143
10,83,-10,139
11,95,-12,131
11,76,-8,128
11,72,10,126
11,84,30,125
12,86,44,119
12,80,52,118
14,64,70,123
15,61,79,124
15,51,76,122
15,45,76,116
15,39,74,115
16,37,71,119
16,38,63,128
16,28,64,135
16,9,64,137
17,-10,62,145
17,-22,62,151
17,-27,58,151
17,-26,43,142
18,-9,40,146
18,-8,32,148
18,-15,23,146
18,-14,19,146
19,-10,17,143
19,1,21,139
19,6,23,137
19,6,22,136
19,0,21,136
19,-2,21,134
20,-1,20,136
20,3,20,139
20,1,20,140
21,-1,20,139
21,0,20,141
21,2,21,142
21,7,24,145
21,3,23,145
22,0,23,146
22,-1,22,147
22,-2,21,148
22,-1,20,148
22,-1,22,148
23,-4,21,145
23,-1,20,146
24,-1,20,147
24,-1,20,146
24,0,22,148
24,0,22,147
24,-1,22,148
25,-2,24,149
25,-1,25,149
25,-1,26,148
25,-1,26,149
26,-3,26,149
26,-3,26,148
26,-2,25,146
26,-1,25,145
27,-2,24,145
27,-2,24,145
27,-1,23,144
27,0,23,146
28,0,24,145
28,-1,25,147
28,-1,25,147
28,0,25,146
29,0,26,146
43,2,25,146
66,0,23,147
87,0,24,148
110,0,25,147
131,0,25,148
153,0,25,147
176,0,26,146
197,0,27,146
220,0,27,147
242,-1,27,145
264,-3,27,146
285,-5,27,145
306,-7,32,147
328,-7,37,149
351,-14,43,150
372,-24,51,151
395,-31,59,148
417,-36,56,133
438,-41,57,134
461,-40,64,143
483,-43,63,144
504,-47,54,143
526,-46,56,145
547,-41,55,150
569,-54,36,152
591,-47,32,153
613,-37,32,159
635,-32,32,161
657,-23,32,162
679,-13,32,165
701,-1,35,171
723,4,33,170
744,9,31,166
766,15,27,163
788,18,21,157
810,21,17,150
832,28,15,138
854,36,10,130
876,38,5,123
898,41,1,122
920,49,5,120
943,59,10,122
965,75,19,129
986,82,20,129
1007,90,17,123
1029,94,10,119
1052,95,4,123
1073,95,0,123
1095,95,-6,121
1117,95,-11,121
1139,91,-14,121
1161,90,-16,122
1183,89,-15,125
1205,87,-14,125
1227,87,-14,125
1248,84,-14,128
1270,81,-14,131
1292,75,-13,133
1314,71,-14,134
1336,69,-13,137
1358,67,-12,139
1381,62,-12,140
1402,59,-11,141
1424,56,-11,142
1446,56,-10,140
1467,56,-9,139
1489,56,-8,140
1511,54,-11,140
1533,53,-12,139
1555,55,-12,138
1578,57,-10,138
1599,56,-11,138
1621,55,-12,138
1644,56,-10,138
1666,55,-7,141
1687,55,-5,142
1709,57,-5,141
1731,57,-3,142
1753,55,-3,142
1775,55,-4,143
1797,54,-5,142
1818,56,-6,141
1840,53,-6,142
1863,51,-6,141
1885,51,-6,141
1906,52,-6,142
1927,52,-6,143
1950,51,-5,143
1971,50,-5,142
1993,51,-5,141
