timestamp,acc_x,acc_y,acc_z
0,65,31,106
0,68,31,109
1,76,36,119
2,79,37,125
3,79,35,121
3,79,32,113
4,75,33,119
5,73,33,118
5,67,30,111
6,65,24,97
7,67,23,90
8,87,33,113
8,91,33,113
14,81,25,111
15,91,24,106
15,124,25,125
16,156,38,173
17,162,41,221
18,156,26,211
19,155,17,206
20,135,18,237
20,119,25,225
21,98,21,188
22,82,9,169
23,72,-6,162
23,55,-28,140
24,46,-51,124
25,40,-63,122
26,38,-66,111
27,33,-66,100
27,18,-69,85
30,3,-72,72
31,3,-67,70
33,10,-63,69
34,14,-59,65
35,16,-57,75
36,16,-62,73
36,11,-69,71
37,8,-80,72
43,13,-86,73
43,21,-82,88
47,22,-86,89
49,15,-90,84
50,10,-91,76
51,9,-92,79
52,8,-95,84
52,8,-96,89
53,2,-103,85
53,0,-107,85
60,3,-107,94
60,7,-106,97
64,8,-107,97
66,2,-108,97
67,-1,-108,101
69,0,-106,105
70,1,-104,109
70,0,-101,109
76,0,-103,107
77,-2,-103,104
81,-2,-104,104
81,0,-104,103
83,-6,-104,104
84,-10,-102,101
86,-11,-102,102
88,-9,-98,103
93,-6,-96,103
94,-6,-96,104
98,-5,-97,103
101,-2,-97,101
104,-1,-98,100
104,-1,-98,98
105,-3,-99,96
105,-3,-102,96
110,-4,-103,98
111,-5,-103,100
119,-5,-101,103
120,-4,-102,103
120,-5,-101,104
121,-4,-102,103
122,-3,-102,104
122,-2,-102,102
123,-2,-101,101
123,-3,-103,100
124,-5,-104,100
124,-3,-103,103
125,-1,-102,104
125,-3,-104,102
126,-5,-103,99
126,-5,-100,97
126,-6,-97,96
127,-6,-96,92
127,-6,-96,92
132,-8,-96,92
133,-8,-98,95
135,-7,-98,98
135,-4,-103,104
136,-4,-105,105
136,-2,-109,107
151,0,-117,115
169,3,-120,117
190,4,-118,119
213,6,-111,116
234,6,-103,112
255,5,-96,105
277,2,-85,95
300,0,-74,85
321,-5,-65,72
343,-10,-51,53
365,-16,-19,30
387,-17,1,21
409,-15,15,18
431,-17,24,15
453,-17,31,16
475,-14,37,24
498,1,45,47
517,24,55,70
539,41,66,80
562,62,73,105
583,84,82,125
606,105,107,142
627,137,116,178
649,140,140,180
671,136,158,192
693,149,169,220
715,158,169,233
737,155,169,229
759,124,160,232
781,120,151,237
802,109,131,223
825,95,118,202
846,85,116,200
868,70,107,210
890,61,110,204
913,68,115,205
934,84,123,207
956,97,134,220
979,112,144,226
1001,128,150,218
1022,142,132,213
1044,144,129,206
1065,139,122,188
1087,132,108,162
1109,129,98,161
1131,109,88,122
1153,82,55,107
1175,63,40,84
1197,49,23,63
1219,35,13,54
1240,27,8,47
1263,16,2,40
1308,9,-5,26
1348,1,-20,21
1354,7,-32,32
1355,19,-36,27
1372,21,-49,28
1391,18,-69,30
1414,21,-83,34
1435,32,-89,34
1457,35,-97,41
1481,32,-103,46
1501,29,-107,48
1524,28,-110,52
1545,29,-113,56
1567,28,-115,59
1588,30,-114,67
1610,29,-111,68
1632,27,-114,71
1654,24,-115,72
1676,18,-117,70
1698,19,-121,73
1720,18,-121,72
1743,21,-117,74
1764,27,-118,74
1786,23,-122,73
1808,22,-122,75
1830,25,-121,76
1852,25,-120,73
1873,25,-119,73
1897,24,-120,71
1918,23,-120,72
1939,24,-120,72
1961,25,-119,74
1983,24,-121,70
