timestamp,acc_x,acc_y,acc_z
0,43,-63,143
1,51,-63,146
2,55,-63,147
2,57,-62,148
3,56,-60,142
4,54,-53,138
5,51,-52,133
6,42,-52,127
7,37,-49,118
8,31,-42,110
9,23,-39,104
9,16,-36,102
10,7,-29,107
11,6,-26,108
12,9,-27,110
13,12,-30,116
14,25,-26,132
15,39,-30,148
15,44,-40,158
16,52,-40,165
17,61,-41,173
18,66,-47,182
18,74,-48,182
20,80,-45,177
21,80,-45,174
22,67,-52,168
23,56,-55,161
26,45,-51,154
26,37,-48,140
27,32,-45,132
27,32,-38,131
38,28,-38,128
38,21,-38,127
39,15,-37,128
40,15,-34,129
41,20,-31,133
42,18,-29,135
43,13,-31,137
43,12,-32,139
44,17,-33,142
52,24,-33,144
53,25,-37,143
53,23,-39,143
54,28,-39,144
54,28,-40,144
55,26,-42,143
56,25,-45,140
56,28,-46,140
57,23,-41,142
58,23,-40,141
59,23,-40,141
59,25,-42,140
60,27,-44,140
61,26,-44,142
67,22,-44,143
68,22,-44,141
69,23,-47,139
70,26,-46,138
71,28,-43,138
71,30,-41,140
72,28,-41,143
73,27,-41,141
73,27,-42,138
74,28,-43,137
74,28,-44,137
75,26,-46,137
76,24,-46,137
76,23,-45,136
77,24,-45,138
78,25,-42,141
85,25,-43,142
86,24,-44,141
86,26,-44,140
87,25,-42,142
88,25,-42,145
88,24,-41,144
89,20,-42,142
90,23,-43,143
90,23,-44,142
91,25,-43,140
92,24,-43,141
92,25,-42,139
93,25,-44,140
93,26,-43,142
94,27,-43,139
94,25,-42,139
100,24,-42,141
101,24,-43,140
101,25,-44,142
102,25,-43,140
103,22,-44,141
103,21,-45,139
103,22,-45,139
104,23,-45,140
104,22,-46,140
105,22,-45,141
106,23,-45,139
129,25,-43,140
150,24,-42,143
172,24,-42,141
193,24,-44,139
216,25,-42,141
237,23,-43,140
260,21,-40,139
281,21,-35,141
304,15,-35,140
326,9,-33,145
347,-1,-30,153
370,-2,-30,150
391,-4,-32,152
414,-11,-29,166
435,-23,-19,185
457,-29,-16,179
480,-32,-26,163
500,-26,-25,162
523,-15,-21,168
545,-9,-17,162
567,-2,-20,154
589,4,-22,150
611,30,-25,141
633,47,-27,133
655,51,-29,133
677,64,-29,121
699,85,-32,107
721,94,-38,100
742,109,-41,94
764,114,-46,86
785,114,-57,74
807,107,-62,69
832,106,-63,71
852,108,-63,72
874,100,-63,77
898,94,-60,78
917,92,-56,78
940,93,-50,80
963,93,-44,82
984,91,-34,85
1006,85,-20,89
1027,88,-12,86
1049,89,-2,91
1070,85,6,109
1093,79,13,123
1115,75,14,122
1137,60,30,144
1159,46,42,170
1180,37,49,174
1203,25,51,175
1225,-1,55,191
1247,-22,57,194
1269,-28,58,196
1291,-29,63,205
1314,-33,69,210
1334,-44,70,208
1357,-43,68,206
1378,-28,66,199
1400,-17,64,191
1421,-9,64,184
1444,-6,65,179
1466,6,65,171
1487,20,64,162
1510,32,63,154
1532,43,61,147
1554,58,60,139
1576,69,56,131
1597,83,55,122
1620,90,50,114
1642,98,38,99
1664,106,34,98
1686,108,35,103
1707,109,34,101
1729,109,33,104
1751,110,33,107
1773,102,32,112
1797,101,30,115
1816,96,27,116
1839,90,24,119
1861,86,23,123
1883,74,22,127
1905,65,20,132
1927,64,22,133
1949,61,24,135
1970,58,25,133
1992,57,25,135
