timestamp,acc_x,acc_y,acc_z
0,20,-59,135
0,20,-58,136
3,19,-58,135
4,20,-59,135
4,20,-58,135
4,19,-58,132
5,20,-60,132
5,22,-60,132
5,23,-59,135
6,27,-58,136
7,26,-58,136
7,25,-58,136
7,28,-56,135
7,27,-57,134
7,25,-57,135
8,24,-57,134
8,22,-60,133
8,22,-60,134
9,23,-60,134
9,23,-60,134
9,23,-63,135
9,21,-63,134
9,21,-64,133
9,25,-64,133
11,23,-64,132
11,23,-65,131
12,25,-64,131
12,22,-64,131
12,24,-63,130
12,23,-64,131
12,23,-64,130
12,21,-64,131
12,21,-66,129
12,20,-66,128
14,21,-67,128
14,21,-69,128
14,22,-69,128
14,22,-70,129
14,22,-69,130
14,22,-70,130
14,22,-70,130
15,20,-70,130
15,20,-71,130
15,21,-72,130
15,21,-73,129
16,22,-74,129
16,21,-74,129
16,22,-73,129
16,24,-72,129
18,24,-72,129
18,25,-71,128
19,22,-71,127
19,23,-71,127
19,23,-70,126
19,22,-71,124
20,21,-70,124
20,21,-71,125
20,20,-72,123
20,20,-72,125
21,20,-72,127
21,22,-72,128
21,22,-72,129
21,22,-73,129
22,21,-74,130
22,22,-73,131
22,20,-73,129
23,20,-72,129
23,19,-72,129
23,19,-72,127
23,18,-71,127
24,19,-71,125
24,19,-71,124
24,18,-72,124
24,19,-71,123
25,20,-72,123
25,20,-71,123
25,19,-71,124
25,19,-72,126
26,22,-72,125
26,21,-72,125
26,20,-74,126
26,20,-75,126
27,20,-75,127
27,21,-75,126
27,20,-75,126
27,21,-76,126
28,21,-76,126
28,21,-75,127
28,24,-74,126
28,22,-74,127
29,22,-75,127
29,23,-75,125
29,22,-75,125
38,21,-74,126
60,22,-74,124
82,21,-75,124
104,19,-74,126
125,20,-73,126
146,19,-73,126
169,19,-74,125
190,20,-76,123
212,24,-76,121
234,29,-77,117
256,32,-79,115
278,39,-79,112
301,37,-74,113
322,42,-73,105
343,40,-70,101
365,39,-68,95
387,34,-65,89
409,25,-58,91
431,15,-51,91
453,7,-44,94
476,3,-22,115
497,-1,-20,109
520,-10,-12,99
540,-17,0,95
562,-10,17,109
585,-4,34,122
607,-15,51,134
628,-23,61,129
650,-20,70,132
672,-13,85,154
693,-9,101,166
716,-16,108,166
737,-15,112,169
760,-8,123,172
782,-4,124,175
803,5,131,182
825,8,133,183
848,10,130,183
869,22,130,187
891,30,124,180
913,43,117,180
935,54,110,176
957,65,101,178
979,80,99,178
1001,100,84,161
1022,115,79,158
1044,114,71,152
1066,112,56,147
1088,113,45,143
1110,119,40,138
1132,111,33,129
1154,115,17,118
1176,107,6,114
1197,97,-4,109
1219,89,-17,102
1241,81,-28,91
1263,72,-34,82
1285,54,-44,74
1307,38,-54,68
1329,34,-58,65
1351,31,-61,60
1373,23,-61,59
1395,18,-58,62
1417,5,-51,74
1439,-2,-50,79
1461,-15,-51,86
1483,-26,-53,86
1504,-29,-57,92
1526,-29,-57,106
1548,-33,-48,145
1570,-31,-47,166
1592,-39,-56,171
1614,-40,-68,164
1636,-30,-78,155
1658,-17,-81,156
1680,-1,-83,152
1702,4,-83,145
1723,4,-86,135
1745,4,-86,128
1767,8,-86,121
1789,13,-83,119
1811,14,-82,117
1833,17,-81,114
1855,17,-80,110
1878,17,-80,112
1899,20,-81,116
1921,17,-81,123
1943,11,-83,122
1964,8,-85,120
1986,10,-80,126
