timestamp,acc_x,acc_y,acc_z
0,-3,-5,150
0,1,-2,151
0,2,-2,151
0,0,-1,148
1,0,-2,146
1,1,-4,142
1,-5,-2,142
2,-8,3,149
2,-5,22,160
2,-13,27,161
3,-6,35,164
3,3,36,163
3,6,32,164
4,3,25,156
4,0,17,150
4,-3,13,147
4,3,13,143
5,10,15,143
5,5,13,142
5,3,10,139
5,1,7,137
6,2,4,135
6,0,3,136
6,-4,2,136
6,-7,0,138
6,-9,0,138
7,-2,5,142
7,0,6,138
7,-2,3,138
7,2,3,137
8,10,1,141
8,9,3,144
9,5,0,144
9,0,0,146
9,-2,-1,144
9,-3,0,147
10,-1,-1,150
10,-9,0,158
10,-16,1,160
10,-18,6,161
11,-15,8,159
11,-13,8,158
11,-12,8,158
11,-14,1,155
12,-18,-1,152
12,-16,-4,150
12,-14,-3,152
12,-12,-1,154
13,-11,-2,152
13,-8,1,152
13,-8,1,152
13,-7,1,150
14,-6,1,149
14,-5,1,147
14,-4,0,146
14,-7,0,145
15,-6,1,145
15,-6,2,145
15,-5,1,146
15,-5,2,146
16,-6,3,146
16,-6,3,147
16,-5,3,147
16,-5,3,148
16,-5,3,147
16,-8,2,147
17,-8,1,149
17,-7,1,149
17,-6,1,147
17,-7,2,149
18,-5,2,148
18,-8,3,150
18,-9,3,149
19,-7,4,149
19,-8,5,151
19,-7,4,150
19,-7,4,150
20,-8,3,150
20,-6,3,151
20,-7,2,150
21,-8,2,150
21,-9,3,152
21,-9,2,150
21,-9,2,150
21,-7,2,151
21,-8,3,151
22,-9,2,150
23,-8,2,148
23,-7,3,148
24,-7,3,147
24,-7,4,147
24,-8,4,148
26,-8,3,147
44,-8,4,147
67,-8,4,148
89,-9,5,148
110,-8,6,148
133,-8,5,148
155,-9,4,148
177,-10,5,146
198,-11,4,148
220,-10,3,147
243,-11,3,147
264,-13,2,145
285,-15,2,143
308,-15,2,142
330,-15,1,139
352,-12,0,133
374,-11,-1,128
395,-9,-2,121
417,-5,0,111
439,2,9,104
460,22,16,94
481,45,22,90
504,59,28,92
526,79,39,96
548,108,56,106
570,129,83,132
592,124,85,134
614,121,86,141
636,125,94,154
658,112,106,174
679,85,112,192
701,40,123,216
723,34,124,214
745,21,136,237
767,-3,143,242
789,-25,136,245
810,-38,126,245
833,-44,118,253
855,-65,126,248
877,-67,116,230
899,-64,107,220
921,-61,101,203
944,-62,87,182
964,-64,71,164
985,-60,55,138
1007,-49,44,119
1030,-44,34,112
1052,-44,24,111
1074,-38,15,109
1096,-32,10,112
1118,-32,0,111
1140,-38,-7,104
1161,-31,-9,105
1183,-25,-14,104
1205,-23,-23,98
1227,-23,-28,92
1248,-19,-28,71
1271,-18,-29,68
1293,-9,-34,63
1314,-5,-36,63
1337,-6,-36,59
1359,-1,-45,54
1380,2,-40,57
1402,8,-41,60
1424,15,-51,63
1446,19,-47,65
1468,28,-34,65
1490,41,-28,74
1512,54,-27,89
1534,61,-17,93
1556,67,-10,102
1577,78,-8,114
1599,80,-2,125
1621,83,0,129
1644,92,-6,132
1664,98,-12,147
1687,95,1,159
1709,94,-1,164
1731,104,-1,167
1753,108,14,183
1774,105,24,190
1796,105,35,207
1818,106,48,206
1841,91,62,212
1861,77,70,222
1884,69,73,213
1905,57,78,214
1927,37,98,230
1950,34,98,215
1971,25,97,208
1993,15,102,202
