timestamp,acc_x,acc_y,acc_z
0,-22,-116,86
0,-25,-114,85
1,-21,-114,82
1,-22,-114,82
1,-24,-112,82
1,-23,-113,79
2,-26,-112,76
2,-29,-112,72
2,-29,-113,73
2,-28,-116,70
3,-27,-117,70
3,-25,-119,70
3,-24,-122,74
3,-18,-123,74
5,-16,-125,73
5,-15,-126,69
5,-18,-126,64
5,-17,-125,63
6,-15,-123,63
6,-12,-124,59
6,-12,-125,56
6,-13,-126,54
6,-13,-124,57
7,-11,-123,58
7,-9,-120,62
7,-12,-123,62
7,-16,-122,63
8,-17,-118,66
8,-16,-118,65
8,-18,-115,67
8,-16,-115,68
8,-18,-115,66
9,-19,-115,62
9,-17,-114,62
9,-19,-115,62
10,-20,-117,61
10,-23,-119,60
10,-25,-121,61
10,-26,-127,60
10,-26,-132,61
10,-25,-138,61
12,-25,-143,62
12,-28,-140,62
12,-31,-134,61
12,-32,-123,63
13,-31,-117,63
13,-31,-113,64
13,-31,-113,63
13,-30,-113,63
14,-30,-114,63
14,-29,-116,63
14,-28,-118,62
15,-30,-120,61
15,-32,-121,61
15,-31,-124,62
15,-32,-124,63
16,-33,-121,60
16,-33,-118,62
16,-33,-117,63
17,-33,-117,65
17,-34,-117,64
17,-33,-116,63
17,-31,-115,64
17,-30,-117,63
17,-29,-118,61
18,-26,-120,60
18,-26,-120,59
18,-25,-122,59
18,-24,-123,59
18,-25,-125,59
19,-26,-125,59
19,-26,-126,61
19,-25,-127,61
19,-26,-126,59
19,-27,-125,61
19,-29,-125,60
19,-28,-123,61
20,-29,-122,62
20,-29,-121,62
20,-29,-121,62
22,-29,-122,62
22,-28,-122,63
23,-26,-122,61
23,-29,-123,62
24,-29,-123,62
25,-30,-123,64
25,-31,-122,63
25,-32,-123,64
26,-30,-122,65
26,-30,-121,64
26,-30,-121,64
26,-30,-120,65
28,-30,-119,65
49,-30,-119,64
72,-29,-119,63
93,-29,-119,63
115,-29,-119,62
137,-30,-120,62
159,-30,-120,62
181,-31,-121,64
203,-32,-121,64
225,-32,-121,64
247,-32,-121,64
268,-32,-121,63
290,-32,-120,63
311,-31,-120,61
333,-29,-122,56
356,-28,-121,54
378,-25,-121,50
400,-24,-119,45
422,-22,-119,39
444,-17,-120,30
465,-13,-119,25
488,-11,-120,22
509,-15,-105,31
531,-8,-95,36
553,-1,-82,43
575,0,-69,51
597,-10,-51,63
619,-3,-40,62
640,5,-30,65
662,2,-16,72
684,-2,-5,83
706,-5,0,88
727,11,5,75
748,7,16,101
770,-19,33,134
792,-8,43,160
814,20,59,192
836,36,80,231
857,17,90,242
879,1,77,226
901,17,66,230
923,34,69,225
945,33,66,220
967,21,63,213
989,10,56,194
1011,4,50,179
1033,13,48,170
1055,15,46,164
1076,11,46,159
1098,7,43,154
1120,9,42,148
1142,16,44,146
1168,19,45,143
1186,18,44,142
1208,17,44,142
1230,16,43,142
1252,17,43,141
1274,18,43,141
1295,17,42,140
1317,16,42,138
1340,15,41,139
1361,14,40,139
1383,15,39,139
1405,16,40,139
1427,17,40,138
1449,16,39,137
1471,15,39,139
1493,15,40,140
1514,14,40,141
1536,14,41,143
1558,14,41,142
1580,12,42,143
1602,13,42,143
1624,12,41,142
1646,12,42,143
1668,14,42,143
1690,14,42,142
1712,11,42,140
1733,11,42,141
1755,13,42,140
1777,13,43,141
1799,12,43,141
1821,14,42,140
1843,14,43,142
1865,14,42,141
1887,13,43,143
1909,14,44,142
1931,13,44,144
1953,13,43,144
1974,13,43,142
1996,12,43,142
