timestamp,acc_x,acc_y,acc_z
1,9,-76,125
1,7,-76,127
2,9,-75,127
2,12,-75,128
3,12,-74,127
3,10,-74,126
3,10,-74,126
4,11,-73,127
4,11,-73,126
4,11,-73,127
4,11,-71,128
5,9,-71,128
5,9,-72,127
5,9,-71,128
5,9,-71,127
5,7,-71,125
6,7,-71,121
6,7,-71,119
6,9,-69,116
6,9,-69,108
6,9,-69,100
7,4,-68,87
7,6,-64,86
7,13,-49,97
7,17,-41,102
7,13,-40,98
7,0,-35,98
8,13,-19,113
8,20,-12,113
8,9,-11,109
8,2,-3,115
8,20,13,126
9,2712,133,39
9,13,133,40
9,16,134,42
9,17,133,44
10,8,130,46
10,4,129,46
10,6,131,47
10,11,133,49
10,11,130,48
10,10,132,48
11,8,132,46
11,8,133,45
11,8,134,45
11,7,138,44
11,4,136,44
11,4,135,43
12,3,133,44
12,6,131,43
12,4,131,48
12,1,132,49
12,-1,129,49
12,-3,128,49
13,-3,128,48
13,-3,125,46
13,-3,125,47
13,-3,127,48
13,0,127,48
14,1,127,48
14,1,125,51
14,0,127,51
14,0,127,51
14,0,127,53
15,-1,127,53
15,-2,126,52
15,-4,126,54
15,-3,127,54
15,-5,128,56
16,-5,127,56
16,-7,126,56
17,-7,127,56
17,-6,127,55
18,-4,129,58
18,-4,128,57
18,-6,127,58
18,-5,127,58
18,-6,127,58
19,-5,128,59
19,-7,128,58
20,-8,128,59
20,-7,127,59
20,-6,127,59
20,-5,127,60
20,-4,127,61
21,-7,128,60
21,-7,129,61
21,-8,128,61
22,-8,127,62
22,-9,127,61
22,-7,127,61
22,-7,126,62
22,-9,125,62
22,-9,123,60
22,-8,123,61
24,-7,123,60
24,-6,124,61
25,-7,124,61
25,-8,124,62
26,-7,124,62
26,-6,125,62
26,-6,126,62
26,-7,126,63
27,-7,125,62
27,-7,127,63
27,-5,127,62
27,-6,127,63
28,-7,126,62
28,-9,125,62
28,-9,126,63
28,-7,127,63
28,-7,126,63
29,-8,124,61
29,-8,125,61
29,-7,125,61
29,-7,126,61
30,-5,126,61
30,-7,126,61
30,-7,126,62
30,-8,126,61
31,-7,126,62
31,-5,127,62
31,-7,127,61
31,-8,127,61
32,-6,126,61
38,-7,126,62
60,-6,126,62
82,-6,126,61
104,-8,125,62
126,-7,125,61
148,-7,125,62
169,-7,125,62
190,-6,125,61
214,-6,125,61
235,-6,127,62
257,-5,126,62
279,-6,126,62
301,-7,126,63
323,-7,127,63
345,-7,126,63
367,-6,126,73
389,-5,131,86
410,-7,135,100
433,-14,143,108
454,-11,150,113
476,-9,158,128
499,7,165,144
520,15,173,144
542,9,175,140
564,4,171,144
586,12,173,151
608,22,171,156
630,24,163,156
651,23,142,152
673,36,132,147
695,39,119,140
717,29,95,113
739,17,58,99
761,19,37,87
783,13,12,81
805,12,5,72
825,11,-6,65
847,9,-23,62
868,9,-30,65
891,11,-41,63
913,15,-53,74
935,10,-62,77
957,2,-69,74
979,10,-68,81
1001,12,-71,91
1023,13,-72,99
1045,11,-73,105
1067,11,-77,110
1089,10,-77,115
1111,12,-76,119
1132,14,-76,125
1154,14,-78,129
1176,12,-78,129
1197,15,-81,124
1220,14,-82,124
1242,18,-80,127
1264,18,-76,131
1285,18,-74,130
1309,16,-76,128
1331,16,-75,126
1351,15,-76,126
1373,15,-75,128
1395,13,-74,127
1416,12,-75,126
1439,15,-72,128
1461,13,-71,129
1483,14,-69,130
1505,14,-70,129
1527,14,-71,128
1548,14,-72,126
1571,13,-72,127
1592,14,-72,127
1614,14,-71,128
1636,13,-70,129
1658,14,-71,130
1680,14,-70,129
1702,15,-70,129
1724,13,-73,128
1746,14,-73,127
1767,15,-74,126
1790,17,-74,127
1811,20,-73,127
1833,19,-73,128
1855,16,-72,127
1877,16,-70,128
1899,17,-71,128
1921,16,-70,128
1943,13,-72,128
1965,13,-72,127
1987,16,-71,129
