timestamp,acc_x,acc_y,acc_z
0,48,-51,137
0,47,-50,139
0,47,-50,135
0,46,-51,136
0,45,-51,136
1,45,-53,134
1,42,-56,133
1,40,-56,131
1,40,-54,133
1,41,-54,133
2,37,-57,128
2,38,-57,128
2,40,-56,128
2,42,-56,128
2,43,-57,129
2,41,-56,129
2,43,-58,128
3,47,-60,129
3,49,-58,131
3,51,-60,128
3,50,-63,127
3,46,-65,127
4,43,-68,126
4,44,-70,124
4,44,-72,119
4,46,-73,118
5,49,-75,115
5,51,-76,112
5,53,-77,112
5,55,-76,114
6,57,-76,118
6,53,-76,121
6,52,-74,122
7,50,-75,121
7,46,-77,121
8,42,-76,122
8,42,-73,120
9,42,-73,117
9,44,-74,115
10,46,-75,115
10,48,-75,115
12,51,-74,116
13,54,-77,116
13,52,-78,117
13,52,-78,117
13,52,-79,118
13,53,-79,118
14,54,-79,119
14,50,-81,119
14,50,-80,119
14,51,-79,119
15,49,-78,118
15,49,-78,116
15,47,-77,116
15,44,-77,115
16,44,-77,115
16,44,-77,114
16,44,-75,114
17,46,-75,114
17,47,-76,114
17,46,-77,114
17,45,-78,115
18,46,-77,115
18,45,-78,115
18,44,-79,114
18,46,-80,112
19,46,-81,112
19,48,-82,111
19,49,-82,112
19,49,-83,112
20,48,-83,111
20,48,-83,112
20,48,-84,112
20,47,-84,113
21,48,-84,114
21,48,-84,114
21,47,-84,112
22,47,-85,111
22,47,-85,112
22,47,-86,110
23,47,-86,111
23,48,-87,112
23,47,-88,110
23,50,-92,109
24,52,-98,108
24,54,-101,112
24,51,-96,120
24,56,-96,112
27,55,-95,109
27,47,-92,116
27,42,-90,111
27,44,-88,110
28,35,-89,100
47,33,-91,97
68,33,-89,97
90,32,-86,101
113,32,-86,103
135,35,-88,98
157,36,-91,97
179,38,-92,98
200,37,-93,99
223,39,-96,101
244,40,-99,102
266,39,-102,99
289,41,-107,99
309,45,-111,100
331,53,-119,96
353,59,-124,90
376,68,-124,87
397,71,-120,86
419,68,-113,82
441,69,-114,76
463,71,-115,72
484,72,-116,69
507,70,-112,69
528,71,-106,70
551,76,-104,70
573,78,-104,71
594,76,-101,68
616,78,-99,67
638,79,-94,67
659,72,-88,74
682,63,-83,87
704,56,-88,90
726,54,-84,92
748,50,-75,101
770,39,-63,121
791,39,-57,129
814,32,-61,130
836,17,-46,129
857,10,-45,138
878,7,-36,143
901,2,-32,145
923,0,-32,144
944,-4,-22,154
966,-27,-22,160
989,-28,-27,161
1010,-29,-34,157
1033,-25,-34,159
1054,-25,-33,162
1076,-24,-39,161
1098,-21,-46,158
1120,-17,-50,157
1141,-13,-52,156
1164,-10,-50,153
1186,-10,-53,147
1208,-6,-56,143
1230,-4,-61,139
1252,-2,-58,137
1274,-1,-57,137
1294,0,-57,132
1317,-1,-58,130
1339,-1,-60,130
1361,0,-62,130
1382,-1,-63,131
1404,-1,-64,131
1426,-1,-62,132
1450,-3,-61,132
1471,-2,-63,131
1492,-1,-64,132
1514,-3,-61,134
1536,-3,-63,133
1558,-1,-64,133
1580,-1,-64,133
1602,0,-65,132
1624,1,-66,135
1646,0,-63,135
1668,0,-63,133
1690,1,-63,133
1710,2,-65,132
1733,2,-65,132
1754,4,-66,132
1776,1,-64,132
1799,3,-66,132
1821,3,-64,131
1842,3,-66,129
1864,3,-66,130
1887,3,-66,131
1908,4,-66,131
1930,2,-66,132
1952,4,-66,132
1974,4,-66,132
1996,3,-66,133
