timestamp,acc_x,acc_y,acc_z
0,-4,124,70
0,-4,123,68
0,-5,122,67
1,-4,123,68
1,-6,122,69
2,-8,121,66
2,-6,121,66
3,-4,123,67
3,-5,123,69
3,-6,124,67
4,-7,124,66
4,-7,125,69
5,-8,125,68
5,-8,124,68
5,-6,125,67
5,-6,124,66
6,-6,124,66
6,-5,124,67
7,-6,124,68
7,-5,123,68
7,-6,123,68
7,-5,124,68
7,-5,124,69
8,-5,124,70
8,-5,124,71
8,-5,125,69
10,-4,125,68
11,-3,123,67
11,-4,124,68
11,-5,125,69
11,-6,124,67
12,-6,124,67
12,-6,123,66
13,-5,123,66
13,-6,122,66
13,-7,122,67
13,-6,122,67
13,-5,124,68
13,-7,124,68
13,-8,123,66
13,-7,124,65
15,-7,123,65
15,-8,124,66
16,-8,124,66
16,-7,124,66
16,-7,125,69
16,-8,123,66
16,-8,124,67
17,-7,123,67
17,-7,124,67
17,-7,123,67
17,-6,123,67
18,-6,124,66
18,-6,125,67
18,-8,125,67
18,-7,125,68
19,-7,124,67
19,-8,123,67
19,-7,123,67
19,-9,123,66
20,-7,124,67
20,-6,123,67
20,-7,123,67
20,-7,124,67
21,-8,125,66
21,-7,124,67
21,-8,125,68
21,-8,124,67
22,-7,123,66
22,-7,123,66
22,-8,124,65
22,-7,124,66
23,-8,124,66
23,-7,124,67
23,-7,124,67
23,-7,124,67
23,-9,123,67
24,-8,123,67
24,-7,123,67
26,-6,122,67
27,-6,124,67
27,-8,124,68
27,-7,124,68
28,-8,123,67
28,-8,122,68
28,-8,123,68
28,-8,122,67
29,-8,122,67
29,-7,124,67
29,-7,124,68
29,-7,124,67
30,-8,123,67
34,-9,124,66
56,-8,124,67
79,-8,123,67
101,-7,123,67
123,-7,123,67
145,-8,124,66
167,-8,123,66
189,-8,123,66
210,-8,124,67
232,-8,124,68
254,-8,123,67
276,-8,123,67
298,-6,124,68
320,-3,125,75
342,-1,131,96
363,-11,138,100
386,-11,139,91
408,-4,147,94
430,6,162,110
451,1,171,104
473,-11,163,96
494,-9,158,106
516,-1,151,121
539,1,143,128
561,6,135,128
583,2,122,123
605,1,104,120
626,4,99,126
649,3,91,129
669,8,87,126
692,5,73,119
714,2,63,117
736,7,57,123
758,13,50,123
780,23,44,119
802,27,40,124
824,25,34,124
846,28,27,123
868,31,18,126
889,33,12,119
910,37,5,116
932,44,2,113
955,44,0,120
976,48,-1,123
998,60,-3,111
1021,74,-13,103
1043,81,-20,103
1065,97,-19,101
1087,112,-17,107
1109,115,-15,110
1130,121,-16,103
1153,119,-21,92
1175,120,-22,88
1196,122,-20,95
1218,112,-21,104
1239,102,-29,100
1262,92,-38,96
1284,75,-43,100
1305,71,-42,109
1332,74,-43,116
1349,71,-43,118
1372,67,-42,120
1393,63,-40,126
1416,69,-38,131
1436,70,-37,135
1458,67,-37,135
1481,65,-37,135
1503,63,-36,136
1525,65,-39,134
1547,65,-37,136
1568,65,-35,137
1590,66,-34,133
1612,65,-35,132
1635,65,-35,129
1656,65,-34,128
1677,66,-32,131
1700,66,-32,132
1722,64,-33,130
1743,63,-33,127
1766,63,-33,129
1788,63,-33,131
1809,65,-34,132
1832,66,-33,132
1854,64,-33,131
1875,64,-34,131
1897,63,-35,130
1919,65,-35,131
1941,66,-36,129
1962,63,-36,129
1984,61,-37,129
